title,ad_id,desc,city,country
We want you in our team of professionals,5433744720,"Hi and welcome, thanks for reading our add, we’re a family run business with a close and loyal team and we are looking to add to our team in our cosy and busy café in south Dublin, we are relaxed and friendly and are happy to train if you need.. please pop be and say hi and we’d love to give you an opportunity to join a lovely team! ???? yes -- OK for recruiters to contact this job advertiser. yes -- Phone calls about this job are ok. Yes – This message may be reposted elsewhere.",Dublin,Ireland
Catering & Household Assistant,5094340351,"Application Details Share Eligibility to participate on CE is generally linked to those who are years or over and in receipt of a qualifying social welfare payment for 1 year or more or 18 years and over for certain disadvantaged groupsour eligibility will have to be verified by the Departmentr> You can register your interest by selecting the -Register your interest- button or you can a case officer in your local Intreo Centrer> Applicants should supply suitable character references and be prepared to complete a Garda vetting application formr> Duties Duties include:- Assist with preparation and serving of mealsbr>- Washing up, cleaning of dining and kitchen areasr> - Housekeeping work to include servicing of bedrooms and cleaning of public areasr> - Laundry dutiesbr>Flexibility is required in relation to days and hours of work - some work can be at weekendselephone Teresa on -8544436 on job orsho w to make applicationr>Position is based at The Centre, Ballyjamesduff, Co Cavanr> no -- Principals only. Recruiters, please don’t contact this job advertiser. no -- Please, no phone calls about this job! no -- Reposting this message elsewhere is NOT OK.",Ballyjamesduff Cornahilt Cavan,Ireland
Chef De Partie,5114010709,"Share The Wicklow Heather Lodge Ltd T/A Wicklow Heather Restaurant require 2 Chef De Partie for their popular restaurant Glendalough Road, Ballard, Laragh, Coicklowinimum 2 years- experience working in busy kitchen in preparing and cooking of traditional cuisineust be team player and capable of producing high quality traditional dishes and cuisiner>Betty:Glendalough Road, Ballard, Laragh, CoicklowSalary; -30,000 per annumbr>Hours: Career Level Experienced Candidate Requirements Essential Minimum Experienced Required Years:2 Minimum Qualification:Level 2 CertificateDesirableAbility Skills:Catering, Creativity, Customer Service , Personal/Social Care Competency Skills:Flexibility, Priority Planning, Teamwork, Working on own Initiative Specialising In:traditional cuisine no -- Principals only. Recruiters, please don’t contact this job advertiser. no -- Please, no phone calls about this job! no -- Reposting this message elsewhere is NOT OK.",Laragh Ballard Wicklow,Ireland
Seeking: Delivery Driver,5437650638,"Delivery Driver An exciting position has become available for a full-time Delivery Driver at Topline Burtons, based in Kanturk, County Cork . The successful candidate’s salary will be depending on experience. Role Requirements High motivation and flexibility. Strong time management and customer service skills. Attention to detail. Ability to work as part of a team. Full clean C driving licence. Role Responsibilities Loading, transporting, and delivering items to our customers in a safe, timely manner.Reviewing orders before and after delivery to ensure that they are complete. Assisting with loading and unloading items from vehicles. Handling all paperwork and other documents relating to deliveries. Work and communicate as a team member. Perform any other duties as may be deemed necessary or as may be required by the company.Company The team at Topline Burtons share more than 150 years of experience in both the hardware and DIY sectors. This knowledge allows them to better support their customers’ needs. Why should you apply? The chance to join a well-established company. To join a fantastic team. To showcase your knowledge and skill set. If you’re the ideal candidate our client is looking for, please send your CV by clicking the APPLY button no -- Principals only. Recruiters, please don’t contact this job advertiser. no -- Please, no phone calls about this job! no -- Reposting this message elsewhere is NOT OK.",KanturkKanturk,Ireland
Delivery Lead,5451857367,"Delivery Lead, Permanent, Remote (must be based in Ireland ) I have an opportunity for a Delivery Lead to join a global technology companies Dublin office where you work on cutting-edge technology solutions, The Delivery Lead must have experience leading agile delivery while keeping stakeholders informed throughout. As Delivery Lead you will work with multiple teams delivering the end-to-end solutions while keeping focused on cross-team collaboration. Experience / Skills: 3 years Project Manager / Delivery Lead experience You must have agile delivery experience Experience delivering software solutions Scrum Master experience a plus Experience working with product development teams Experience working on a data based product a plus Salary / benefits: €70,000 - 80,000 Healthcare Pension If you are interested in any of these roles get in contact at (url removed) or (phone number removed) Reperio Human Capital acts as an Employment Agency and an Employment Business. no -- Principals only. Recruiters, please don’t contact this job advertiser. no -- Please, no phone calls about this job! no -- Reposting this message elsewhere is NOT OK.",Dublin,Ireland
Consulting Project Manager - Transformation Delivery,5451875226,"Posted by Amida-cv_library on 28/02/2022 Dublin Postcode Dublin Dublin Dublin Company name Amida Category Other Contract Permanent Full/Part time Full time Description Senior Consultant - Transformation Delivery (Project Management) Location: Throughout Ireland; Either Cork or Dublin or Galway or Limerick or Waterford. Or Belfast , Northern Island. Our client is a multinational consulting firm providing comprehensive strategy, transactions and commercial advisory services to sectors is in search of 2-4 years experienced Consultants with cross sector (energy & utilities, government, life sciences, health, FMCG and financial services) and solid experiences in project delivery & consulting backgrounds. As a Senior Consultant within their Transformational Delivery team, you will be responsible for: Supporting consistent delivery of high-quality project deliverables on time and within budget; Managing and monitoring project logs, including project plans, risk and issue logs, project budgets, resource plans; Developing and updating project reports, including status reports; Assisting in managing financial aspects of engagements by organising staffing, tracking fees and communicating issues to project leaders; Communicating effectively with the engagement team, the client and internal and external stakeholders, as required; Working confidently with clients, to support building 'trusted advisor' relationships. Supporting collaboration and teaming activities across engagements and across the team; Building understanding of our client's service offerings and actively identify opportunities to better serve clients. Requirements: 2-4 years' experience in a management consultancy / advisory role in industry or the public sector; A strong academic record including a third level degree, preferably in a business / technology or project management related area; Excellent, Microsoft Office skills including Word, Excel, Project Good understanding of project governance and change management principles; Experience of working across energy & utilities, government, life sciences, health, FMCG and financial services is desirable. Additional professional Ad ID 250965844 Last updated 28/02/2022 Member since 07/11/2018 Visitors 0 Beware of scammers by reading our top tips on how to avoid a scam Anything wrong with this ad? Let us know what the problem is, we will review it accordingly. Don't forget to mention Vivastreet when you get in touch! no -- Principals only. Recruiters, please don’t contact this job advertiser. no -- Please, no phone calls about this job! no -- Reposting this message elsewhere is NOT OK. This is a part-time job.",Dublin,Ireland
Solution Design Lead & Delivery Lead,5447614976,"Search Hewlett Packard Enterprise Careers At Hewlett Packard Enterprise, we bring together the brightest minds to create breakthrough technology solutions that advance the way people live and work. What sets us apart? Our people and our relentless dedication to helping our customers make their mark on the world. We are a team of doers, dreamers and visionaries; inspired by our purpose and driven by our strategy. We live by our three values: partner, innovate and act. Our legacy inspires us as we forge ahead, always pushing to discover what’s next. Every day is a new opportunity to advance and grow ourselves, our company and the industry. Some people call it an obsession, we call it a way of life. What you need to know about the job Job ID: 1101456 Date Posted: 10/21/2021 Primary Location: Leixlip, Kildare Job Category: Information Technology Schedule: Full time Shift: No shift premium - Lunch 0.0 (Ireland) Hewlett Packard Enterprise advances the way people live and work. We bring together the brightest minds to create breakthrough technology solutions, helping our customers make their mark on the world. HPE is the global edge-to-cloud platform-as-a- service company that helps organizations accelerate outcomes by unlocking value from all data, everywhere. Built on decades of reimagining the future and innovating to advance the way people live and work, HPE Global IT delivers unique, open and intelligent technology solutions, with a consistent experience across all clouds and edges, to help customers develop new business models, engage in new ways, and increase operational performance. The role will provide consulting to businesses, functions, and geographies that utilize IT services and drives effective business engagement for IT. Understands the specific goals and needs of the business, function, or geography and represents those needs to the IT organization. Develops and maintains relationships with appropriate members of the business/function/geography organization. Works to align business, function, and geography requirements with IT plans and priorities. Facilitates business, function, and geography involvement in IT projects to identify requirements, gather feedback, and finalize scope. Identifies opportunities for IT to leverage solutions across business, function, and geographic organizations. Establishes effective processes for managing the relationship on an ongoing basis. Communicates IT standards and new IT solutions, processes, and policies to the businesses, functions, and geographies. Connects business/function/geography “customers” with appropriate IT technical resources when technical discussions are necessary. Responsibilities: Establishes and maintains relationships with key decision-makers at the top of the business, function, geography or organization as well as key tactical leaders. Engage in Integration design discussion and provide guidance to internal and external customers on the best way forward Leads and organizes broad technical focus areas on patterns, approaches, practices and solution design maturity Uses extensive business knowledge at domain level to drive engagement for the largest IT initiatives. Proactively engages in strategic business planning where there is IT impact; influences overall business strategies of customer organizations. Communicates strategic IT decisions and plans and works to achieve alignment at the top level of the business, function, or geography. Represents the needs of the business, function, or geography during the IT priority-setting process. Identifies leverage opportunities where IT can provide cost-effective, standard solutions to meet the needs of multiple business/function/geography organizations. Actively participates in IT projects to ensure that business, function, and geography ""customers"" are included appropriately and ensures that they receive sufficient and timely communications. Promotes best practices found in working with one business/function/geography to other business and function organizations. Identifies the need for new IT processes as well as significant improvements to major IT processes and drives the development and implementation of those. Education and Experience Required: Typically a Bachelor's degree or Masters Degree or equivalent experience. Knowledge and Skills: Exceptional written and verbal skills. Deep business experience at domain level. Strong relationship management skills. Excellent project management and process development skills. Strong knowledge of API development and Integrations Strong knowledge of web services (WSDL Soap, Restful) We offer: A competitive salary and extensive social benefits. Diverse and dynamic work environment. Work-life balance and support for career development. An amazing life inside the element! Want to know more about it? Then let’s stay connected! HPE is an Equal Employment Opportunity/ Veterans/Disabled/LGBT and Affirmative Action employer. We are committed to diversity and building a team that represents a variety of backgrounds, perspectives, and skills. We do not discriminate and all decisions we make are made on the basis of qualifications, merit, and business need. Our goal is to be one global diverse team that is representative of our customers, in an inclusive environment where we can continue to innovate and grow together. This role has been designated as ‘Edge’, which means you will primarily work outside of an HPE office HPE is an equal opportunity employer/Female/Minority/Individual with Disabilities/Protected Veteran Status My favorite thing about the culture here is the amount of collaboration that goes on throughout the company. Chris Rasberry Finance Project Manager With a company as vast as HPE, you never know what’s going to come up, so it keeps you on your toes, excited for the next challenge. Kristine Steeter AMS HR Operations and Global Services VP Related Content Shape the Future of Business Explore insights and resources to help IT pros shape the future of business. Experience a day in the life of Hewlett Packard Enterprise employees. Find out what it's like to work in Leixlip Hewlett Packard Enterprise advances the way people live and work. What sets us apart? Our people. Our people's relentless commitment to partner, innovate, and act. Sign Up for Alerts Join our talent community and get HPE news and job alerts delivered to your inbox. Search for a category or location (or both), select a suggestion and then click ""Sign Up."" For information on the processing of personal data by HPE please refer to the HPE Recruitment Notice and HPE Privacy Statement . You can always withdraw or modify your consent to receive marketing and sales communication from HPE. This can be done by using the opt-out and preference mechanism at the bottom of our email marketing communication or by following this link to unsubscribe. no -- Principals only. Recruiters, please don’t contact this job advertiser. no -- Please, no phone calls about this job! no -- Reposting this message elsewhere is NOT OK.",LeixlipKildare,Ireland
Seeking: Executive Head Chef - North West,5434612851,"Red D are recruiting an Executive Head Chef for a luxury resort Hotel. This busy property requires a candidate with drive and ambition to be the best in the business. The successful candidate will have: · Exceptional culinary ability with a real creative edge and style · Excel... no -- Principals only. Recruiters, please don’t contact this job advertiser. no -- Please, no phone calls about this job! no -- Reposting this message elsewhere is NOT OK.",Monaghan,Ireland
Mechanical Commissioning Lead,5451857385,"**Remote / Hybrid Working opportunity** Senior Project Planner to work for a leading Mechanical Engineering contractor to work across their projects in Cork , Dublin and Europe . This role could be based out of their Cork or Dublin office, but could also be completed remotely for the right candidate. The successful candidate will be responsible for a range of projects, some of which are detailed below. Projects: Multiple Pharmaceutical Plants – €30M – €50M Semi-Conductor facility – €10M – €60M If you are a Senior Project Planner who is looking for your next career move, please send your CV to Joe Newman or call for a confidential discussion. Responsibilities: Project Planning and scheduling using Primavera P6 or ASTA Power Project. Responsible for development and management of project schedules and project controls tools. Representing the company and hosting Progress/Planning meetings/workshops. Establish project schedule resource requirements. Develop and Communicate tools for the target completion of project goals. Provides performance updates / reports views for identification of variances and corrective action. Developing Pre-Construction, Construction and Commissioning Program’s as part of the project team. Site visits to projects in Cork, Dublin and Europe when required. Requirements A relevant third level degree or Mechanical trade qualification. 10+ years’ experience in a similar role specifically on mechanical piping projects. Pharmaceutical and Process Piping experience is essential. Experience with Mechanical scope of works with excellent technical knowledge. Experience leading projects from a project controls perspective IT Skills – Microsoft Office and Adobe Acrobat Pro Benefits: Salary circa €85,000 to €95,000 DOE Bonus scheme Discounted Healthcare Continuous development program Expenses and accommodation paid for during any travel If you are a Senior Project Planner who is looking for your next career move, please send your CV to Joe Newman or call for a confidential discussion. All applications will be treated in the strictest of confidence. We also have many other roles for Mechanical Building Services Engineers and Electrical Engineers across Ireland . no -- Principals only. Recruiters, please don’t contact this job advertiser. no -- Please, no phone calls about this job! no -- Reposting this message elsewhere is NOT OK.",Dublin,Ireland
Mechanical Commissioning Lead,5451857606,"**Remote / Hybrid Working opportunity** Senior Project Planner to work for a leading Mechanical Engineering contractor to work across their projects in Cork , Dublin and Europe . This role could be based out of their Cork or Dublin office, but could also be completed remotely for the right candidate. The successful candidate will be responsible for a range of projects, some of which are detailed below. Projects: Multiple Pharmaceutical Plants – €30M – €50M Semi-Conductor facility – €10M – €60M If you are a Senior Project Planner who is looking for your next career move, please send your CV to Joe Newman or call for a confidential discussion. Responsibilities: Project Planning and scheduling using Primavera P6 or ASTA Power Project. Responsible for development and management of project schedules and project controls tools. Representing the company and hosting Progress/Planning meetings/workshops. Establish project schedule resource requirements. Develop and Communicate tools for the target completion of project goals. Provides performance updates / reports views for identification of variances and corrective action. Developing Pre-Construction, Construction and Commissioning Program’s as part of the project team. Site visits to projects in Cork, Dublin and Europe when required. Requirements A relevant third level degree or Mechanical trade qualification. 10+ years’ experience in a similar role specifically on mechanical piping projects. Pharmaceutical and Process Piping experience is essential. Experience with Mechanical scope of works with excellent technical knowledge. Experience leading projects from a project controls perspective IT Skills – Microsoft Office and Adobe Acrobat Pro Benefits: Salary circa €85,000 to €95,000 DOE Bonus scheme Discounted Healthcare Continuous development program Expenses and accommodation paid for during any travel If you are a Senior Project Planner who is looking for your next career move, please send your CV to Joe Newman or call for a confidential discussion. All applications will be treated in the strictest of confidence. We also have many other roles for Mechanical Building Services Engineers and Electrical Engineers across Ireland . no -- Principals only. Recruiters, please don’t contact this job advertiser. no -- Please, no phone calls about this job! no -- Reposting this message elsewhere is NOT OK.",Dublin,Ireland
