title,ad_id,desc,city,country
"Customer Support Specialist Galway, Ireland",5461727980,"Diligent is the leading governance, risk and compliance (GRC) SaaS company, serving 1 million users from over 25,000 organizations around the world. Our software enables holistic and informed conversations about GRC and ESG to ensure CEOs, CFOs and the board have an integrated view of audit, risk, information security, ethics and compliance from across the organization. Position Overview: Due to phenomenal growth, we are seeking a Customer Support Specialist to handle Tier I support and client relationships by answering Support calls from our clients, resolving issues and ensuring all appropriate follow up to confirm complete client satisfaction. Our support team works closely with both our Customer Success Team and our ProdOps team to ensure speedy resolution of all issues, and you must be extremely proficient in articulating with both technical and non-technical staff and users. This position is a night-shift position. The primary attribute we are looking for is excellent customer service with superb communication skills who has a passion for helping people and who is unflappable under pressure. You will have a commitment to offer the best customer service possible and the self-confidence to work with senior executives across the globe. Key Responsibilities Interact with customers to provide and process information in response to inquiries, concerns, and requests about products and services Gather customer’s information and determine the issue by evaluating and analyzing the symptoms Diagnose and resolve technical and software issues involving internet connectivity, login problems and more Research required information using available resources Follow standard processes and procedures Identify and escalate priority issues per Client specifications Redirect problems to appropriate resource Accurately process and record call transactions using a computer and designated CRM software Offer alternative solutions where appropriate with the objective of retaining customers’ and clients’ business Organize ideas and communicate oral messages appropriate to listeners and situations Follow up and make scheduled call backs to customers where necessary Stay current with system information, changes and updates Required Experience/Skills Experience of phone-based Software Application/Technical Support or call centre experience supporting end users Working knowledge of Windows OS Proven problem-solving skills and technical aptitude Superb communication and customer handling skills Ability to think on your feet in a highly demanding and fast-moving environment What Diligent Offers You Creativity is ingrained in our culture. We are innovative collaborators by nature. We thrive in exploring how things can be differently both in our internal processes and to help our clients We care about our people. Diligent offers a flexible work environment, competitive vacation policy and meeting-free days across the company. We care about our team’s health and wellness and even offer a quarterly health club reimbursement! We have teams all over the world . We may be headquartered in New York City, but we have office hubs in Washington D.C., Vancouver, London, Galway , Budapest, Munich, Bengaluru, and Sydney. Diversity is important to us. Growing, maintaining and promoting a diverse team is a top priority for us. We foster and encourage diversity through our Employee Resource Groups and provide access to resources and education to support the education of our team, facilitate dialogue, and foster understanding. Diligent created the modern governance movement. Our world-changing idea is to empower leaders with the technology, insights and connections they need to drive greater impact and accountability – to lead with purpose. Our employees are passionate, smart, and creative people who not only want to help build the software company of the future, but who want to make the world a more sustainable, equitable and better place. Headquartered in New York, Diligent has offices in Washington D.C., London, Galway, Budapest, Vancouver, Bengaluru, Munich, and Sydney. We are a drug free workplace. Diligent is proud to be an equal opportunity employer. We do not discriminate based race, color, religious creed, sex, national origin, ancestry, citizenship status, pregnancy, childbirth, physical disability, mental disability, age, military status, protected veteran status, marital status, registered domestic partner or civil union status, gender (including sex stereotyping and gender identity or expression), medical condition (including, but not limited to, cancer related or HIV/AIDS related), genetic information, or sexual orientation in accordance with applicable federal, state and local laws. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. See also Diligent's EEO Policy and EEO is the Law. We are committed to providing reasonable accommodations for qualified individuals with disabilities and disabled veterans in our job application procedures. If you need assistance or an accommodation due to a disability, you may contact us at . To all recruitment agencies: Diligent does not accept unsolicited agency resumes. Please do not forward resumes to our alias, Diligent employees or any other organization location. Diligent is not responsible for any fees related to unsolicited resumes. no -- Principals only. Recruiters, please don’t contact this job advertiser. no -- Please, no phone calls about this job! no -- Reposting this message elsewhere is NOT OK.",Dublin,Ireland
Reservations Customer Service Executive,5117591443,"TheHen is recruiting a Reservations Customer Service Executive to be based in Athlonep>This is a full time position with semi-flexible hoursp>Background experience in HoteI reception or reservations would be an advantagep>Strong telephone and organisational skills, with proficiency in Confidential Office, are essentialp> :- 11 no -- Principals only. Recruiters, please don’t contact this job advertiser. no -- Please, no phone calls about this job! no -- Reposting this message elsewhere is NOT OK.",Athlone Westmeath,Ireland
Customer Service Agent,5225618101,"Your new companyThis well-established multinational organisation is known for delivering intuitive customer experience through a core focus on the customer journey. Through their People, Capability, Integrity and Innovation they have established a reputation for excellent customer experience. Due to an expansion phase, we are currently recruiting for additional customer service agents (full time and part time) to join this busy customer care team. The role is entirely remote based and all applicants must reside in Ireland , initial a 6-month fixed term contract, with the view to permanency and all equipment will be provided to you. Your new role The purpose of your role is to act as the main point of contact, receiving inbound calls and be tasked with bringing a successful resolution to customer queries. You will speak to the customers and handle any query they may have whether it be a billing or technical queries whilst delivering an outstanding customer service to the client. Full paid training will be provided to you where you will be trained to log all customer queries via an internal logging system and report directly to your line manager to ensure all tickets completed are compliant with company standard. What you'll need to succeed You will speak fluent English and have excellent communications skills, both written and verbal. Prior experience in customer service in a fast-paced environment will be an advantage, but this is not necessary. This role will suit a driven individual who has an excellent work ethic, enjoys a target driven environment, has a passion for customer service and who would like to progress in their career. These positions are remote so you will need a good home office environment (room with a closed door) along with fast broadband. All equipment will be provided to you to do your job. This is a high-volume role so you will have to be able to work within a fast paced environment. Customer service experience is also advantageous however not necessary, as full training will be provided. You will be highly motivated and flexible and also able to work well under pressure. What you'll get in return The rate for this role is €10.20 per hour along with quarterly loyalty bonus, with the opportunity of a performance related bonus/commission also. This position will give you a rewarding opportunity within a dynamic and challenging industry, while also gaining hands on experience. This organisation has a reputation for developing and promoting within the company giving you numerous opportunities for career progression. no -- Principals only. Recruiters, please don’t contact this job advertiser. no -- Please, no phone calls about this job! no -- Reposting this message elsewhere is NOT OK. This is a part-time job.",Athlone,Ireland
Christmas Customer Assistant,5229479703,"Job Description Why Boots?We are ROI’s leading pharmacy led health and beauty retailer and our purpose is to help our customers’ look and feel better than they ever thought possible. As a Christmas Customer Assistant, you are often the first person our customers will see and speak to or you’ll be working in the background to make sure we always have everything they need – everything you do has a huge impact in stores. Joining us as a Christmas Customer Assistant is a great opportunity, whether it’s your first job and you’re looking to gain some valuable experience over the festive period, or you have a passion for retail and are looking for a new challenge. Whilst this is a temporary contract, there could be the potential for a permanent role later on depending on the opportunities in your store, so it could be the start of a new career with us. Together we can make feel good happen this Christmas. About the opportunityChristmas in Boots is our most exciting time of the year and it can be very busy so we’ll provide you with all of the training and support you need to help you be at your best. No two days are the same; you could be helping on tills or advising customers, working in our back shop helping to run our stock room or you could be helping our online offering by picking boots. ie orders. Whatever it is we always aim to make the best use of your talents and some of the activities that you could be doing includes:Helping our customers: whether that’s answering questions and giving great advice on our fantastic gifts, showing where a product is or simply offering a basket, it’s the little things that make big a difference. Helping our stores run smoothly: working with us at Christmas is a great experience but can be fast paced so it’s important we make sure it all goes smoothly. It could be helping with our stock in in the stock rooms, making sure we have the right products displayed on the shop floor or providing a great service on our tills. It all makes a big difference in offering a great shopping experience. Working as part of a great team: pulling together with other members in the team you will ensure that the stores are always presentable and provide a store everyone can be proud of. Working as a team to solve any issues quickly and being able to adapt to what can be a changing environment is something we love about our amazing teams in store. About youTo be successful in this role you will have customer care at the heart of what you do and a true desire to help others. In addition you will:Have excellent communication and listening skillsDemonstrate real energy and passion for customer serviceGreat organisation and operational skillsBe able to work as part of a team, supporting your colleagues and helping to deliver the business planHave great attention to detailBe digitally savvy and comfortable with new technologyHave a positive, caring attitude and be a brand ambassador for Boots Diversity, equity and inclusion is at the centre of everything we do in our business. We are proud to be an equal opportunity employer, passionate about embracing the diversity of our colleagues and providing a positive and inclusive working environment for all. We offer a variety of flexible working patterns to support our colleagues to achieve a good work life balance, just speak to our Recruitment team to find out more. What’s next? If you’re application is successful, we will contact you via email to arrange an interview. If you have not been successful on this occasion you will be notified by email. Information About Our Stores We are now recruiting Christmas Customer Assistants for our Athlone store. We are looking for candidates to start with us from 18th October onwards. We have a variety of shifts available across this store, working between the hours of 7.30am and 10pm and may include weekends. Please note that due to the anticipated volume of applications expected for this vacancy, we will close the advert when we have met our requirements. no -- Principals only. Recruiters, please don’t contact this job advertiser. no -- Please, no phone calls about this job! no -- Reposting this message elsewhere is NOT OK.",Athlone,Ireland
Customer Services Representative,5244827582,"DPD Ireland ’s Customer Services team provides support to over eight thousand active customers, tens of thousands of parcel recipients and internal customers which include our depots and other DPD departments. The role of the customer services representative is to build strong relationships with our customer - base, to proactively manage the customers’ expectations and to resolve an emerging problems quickly, accurately and efficiently. This is an extremely fast - paced environment and operates across several communications channels including telephone, chat, email and social media. Responsibilities Effective management of large volumes of incoming and outgoing contacts. Identification of customers’ needs, assessing problems and finding swift resolution. Building of strong relationships, developing trust through open and interactive communication. Provision of accurate, valid and complete information, recording detail using the department tools provided. Handling complaints, providing appropriate solutions and options, efficiently and following up to ensure resolution. Following the Customer Services and Quality procedures, guidelines and policies. Requirements Minimum of 2 years experience in a fast - paced, customer focused area would be an advantage. Ability to integrate easily into a dynamic, multi - skilled environment. Evidence of attention to detail and accuracy. Enthusiastic and self - motivated. Ability to work both individually and as part of a team. Excellent communication skills both verbal and written. Strong computer skills - Word, Excel, Salesforce and other platforms. A Third Level qualification in a relevant discipline would be an advantage. no -- Principals only. Recruiters, please don’t contact this job advertiser. no -- Please, no phone calls about this job! no -- Reposting this message elsewhere is NOT OK.",Athlone,Ireland
Customer Assistant,5257200692,"Job Description The importance of your role. This is your chance to be part of something a bit different. You’ll be working closely with the most important part of our business – our customers. Giving them fantastic customer care and making them feel good, and we think that’s a great opportunity. You’ll really get to know our customers and what they’re looking for; it’s everything from helping them find the perfect product, to stocking the shelves, to getting behind an in - store promotion. What you’ll be doing day to day. Listen to our customers, it’s the first step to providing a great experience and we love how passionate our customers are about our brand. Put our customers at ease. You’ll get to know our fantastic products, recommending items that they hadn’t considered. Your really personable approach will keep our customers coming back. Inspire the in - store team with your really personable customer care, helping them any way you can. How will you do it?Make our customers feel really good - it’s more than just answering their questions, it’s about giving our customers a really great experience. Even if it’s just offering them a basket when you notice their hands are full. You’ll let them know you’re here to help - it’s the little things that make a real difference. Get to know our in - store promotions and schemes, and promote them - the more info we can give our customers the better. Know our customers, find out more about them, what they like and what they don’t – it can make such a difference to the way we do things. What you’ll need to have. We’re looking for really great people, with a friendly personality. It’s all about working together as one great team – after all it’s our people that are at the heart of our business. You never know it could lead to another role with us. You’ll need to have experience of dealing with customers. But it isn’t just about experience, we’re interested in seeing a bit more, the real you – and that makes us all feel good. no -- Principals only. Recruiters, please don’t contact this job advertiser. no -- Please, no phone calls about this job! no -- Reposting this message elsewhere is NOT OK.",Athlone,Ireland
Customer Service Advisor part time evenings,5270757453,"Contract Type:RegularShift:Evening JobSchedule:Part-timeDescriptionPart time evening work, including every second weekend, 26.25 hours pw. As a customer service advisor, your role will be to provide advice to customers and /partners in the provision of emergency vehicle/home assistance services, to customers of AXA Assistance clients in Ireland and the UK while liaising with our approved suppliers and contractors throughout Ireland, the UK and Foreign countries. You will work 26.25 hours per week, working evenings from 5pm, and every second weekend. Based in Athlone office with some remote working available after training. Responsibilities To Deliver High Quality Customer Service Understand and use the necessary programmes, applications and IT software systems Provide relevant and accurate information to every customer/partner on every call based on appropriate protocols, professional expertise and training. Ability to use initiative as well as all information resources available Ensure the customer expectations are met and exceeded on every call so as to successfully complete every case Know when to refer to colleagues and / or managers To understand and apply the AXA Assistance UK complaints and compliments procedure To Deliver an Efficient Service Be proficient in all relevant IT applications / telephony to ensure case records are accurately maintained Call queuing awareness and willingness to respond appropriately at times of service pressure Answer calls adhering to standard response times protocols etc Accurate and timely completion of case notes/ logs / diaries for each customer Ensure all parties relevant to the provision of effective assistance are correctly notified and updated on a regular basis Process cases in accordance with department procedures and agreed authority levels Deployment of cases to appropriate and approved suppliers To Work as an Effective Team Player Understand and demonstrate the culture and values within AXA Assistance Be aware of the structure and work of other teams and functions Proactively organise daily work, breaks and handover Know the strengths and weaknesses of colleagues Support and help colleagues Build effective communication skills with colleagues and managers Support call handling activity in other areas during times of high demand Carry out any other tasks as agreed with line managers To Build Personal and Professional Development Maintenance of relevant learning and development needs and any professional qualification/accreditations QualificationsEssential Criteria Excellent customer service skills Excellent telephone manner Appropriate qualifications / accreditations (where necessary) Excellent written and verbal communication skills Willingness to take initiative to solve problems A proven ability to manage conflict and difficult customers The ability to work under pressure and to customer deadlines Excellent organisational and time management skills To be a team worker Flexibility The ability to get things done / deliver results to agreed customer standards Keyboard skills Desirable Criteria Previous experience of working in general / insurance assistance markets A recognized insurance qualification such as APA/CIP Previous experience of a call centre environment / telephone based work A good competency level and effective understanding of using standard software packages, including Word and Excel. About AXAAXA Group is the world leader in insurance and asset management. We protect and advise our clients at every step in their lives, by offering products and services which satisfy their needs in the areas of insurance, personal protection, saving and asset management. AXA is the leading insurance brand worldwide, with over 100 million clients. We are transforming from payer to partner for our client, with a strong focus on risk prevention. Our mission: Empower people to live a better life. Our values: Customer First, Courage, Integrity and One AXA. AXA Partners is an AXA transversal business unit offering a wide range of solutions in assistance services, travel insurance and credit protection. AXA Partners’ role is also to implement innovative solutions emerging from the AXA Innovation unit. Our mission is to help our Corporate clients to enrich their customers’ experience, with more than 9,000 employees at their service anywhere, anytime. What We OfferBy joining AXA Partners, you will work in a responsible company, which offers a real culture of expertise & diversity. Our focus is on accelerating the development of everyone’s skills, whilst offering attractive and competitive compensation and opportunities for professional development and growth. Additionally, at AXA, we work to make a real difference to people - when amazing things happen and when we create opportunities for a better life, the feeling of pride is extraordinary. no -- Principals only. Recruiters, please don’t contact this job advertiser. no -- Please, no phone calls about this job! no -- Reposting this message elsewhere is NOT OK. This is a part-time job.",Athlone,Ireland
Customer Service Advisor 35 hours per week,5273551028,"Contract Type:RegularShift:Day JobSchedule:Full-timeDescriptionAs a customer service advisor, your role will be to provide advice to customers and /partners in the provision of emergency vehicle/home assistance services, to customers of AXA Assistance clients in Ireland and the UK while liaising with our approved suppliers and contractors throughout Ireland, the UK and Foreign countries. You will work 35 hours per week, following a shift pattern, including every second weekend. Based in Athlone office with some remote working available after training. Responsibilities To Deliver High Quality Customer Service Understand and use the necessary programmes, applications and IT software systems Provide relevant and accurate information to every customer/partner on every call based on appropriate protocols, professional expertise and training. Ability to use initiative as well as all information resources available Ensure the customer expectations are met and exceeded on every call so as to successfully complete every case Know when to refer to colleagues and / or managers To understand and apply the AXA Assistance UK complaints and compliments procedure To Deliver an Efficient Service Be proficient in all relevant IT applications / telephony to ensure case records are accurately maintained Call queuing awareness and willingness to respond appropriately at times of service pressure Answer calls adhering to standard response times protocols etc Accurate and timely completion of case notes/ logs / diaries for each customer Ensure all parties relevant to the provision of effective assistance are correctly notified and updated on a regular basis Process cases in accordance with department procedures and agreed authority levels Deployment of cases to appropriate and approved suppliers To Work as an Effective Team Player Understand and demonstrate the culture and values within AXA Assistance Be aware of the structure and work of other teams and functions Proactively organise daily work, breaks and handover Know the strengths and weaknesses of colleagues Support and help colleagues Build effective communication skills with colleagues and managers Support call handling activity in other areas during times of high demand Carry out any other tasks as agreed with line managers To Build Personal and Professional Development Maintenance of relevant learning and development needs and any professional qualification/accreditations QualificationsEssential Criteria Excellent customer service skills Excellent telephone manner Appropriate qualifications / accreditations (where necessary) Excellent written and verbal communication skills Willingness to take initiative to solve problems A proven ability to manage conflict and difficult customers The ability to work under pressure and to customer deadlines Excellent organisational and time management skills To be a team worker Flexibility The ability to get things done / deliver results to agreed customer standards Keyboard skills Desirable Criteria Previous experience of working in general / insurance assistance markets A recognized insurance qualification such as APA/CIP Previous experience of a call centre environment / telephone based work A good competency level and effective understanding of using standard software packages, including Word and Excel. About AXAAXA Group is the world leader in insurance and asset management. We protect and advise our clients at every step in their lives, by offering products and services which satisfy their needs in the areas of insurance, personal protection, saving and asset management. AXA is the leading insurance brand worldwide, with over 100 million clients. We are transforming from payer to partner for our client, with a strong focus on risk prevention. Our mission: Empower people to live a better life. Our values: Customer First, Courage, Integrity and One AXA. AXA Partners is an AXA transversal business unit offering a wide range of solutions in assistance services, travel insurance and credit protection. AXA Partners’ role is also to implement innovative solutions emerging from the AXA Innovation unit. Our mission is to help our Corporate clients to enrich their customers’ experience, with more than 9,000 employees at their service anywhere, anytime. What We OfferBy joining AXA Partners, you will work in a responsible company, which offers a real culture of expertise & diversity. Our focus is on accelerating the development of everyone’s skills, whilst offering attractive and competitive compensation and opportunities for professional development and growth. Additionally, at AXA, we work to make a real difference to people - when amazing things happen and when we create opportunities for a better life, the feeling of pride is extraordinary. no -- Principals only. Recruiters, please don’t contact this job advertiser. no -- Please, no phone calls about this job! no -- Reposting this message elsewhere is NOT OK.",Athlone,Ireland
IT Service Desk Support Specialist Athlone,5357969123,"IT Service Desk Support Specialist Athlone - 6 month contract (21000ABT) PRIMARY LOCATION : IRELAND - WESTMEATH -ATHLONE ORGANIZATION : AXA Partners - AXA Partners CONTRACT TYPE : Regular SHIFT : Day Job SCHEDULE : Full-time DESCRIPTIONThe purpose of the role is to provide key IT support to the business for the UK and Ireland as part of the IT service desk team. Ensuring all services, applications, and devices and working as expected for all user?s enabling them carry out their role.High-level summary of the scope and scale of the role. The role will cover the configuration, management and support of UK and Ireland access accounts, software and assets. IT Service desk provide support for all users across the business lines of Motor, Home and Travel located in the UK and Ireland The role will be positioned in the IT Support department consisting of the below teams: IT Service Desk Support & Maintenance Team Solutions Delivery teamThe role will not have any direct reports The role will participate in a shift pattern covering the hours of 8am till 6pm supporting the UK and Ireland business Acting as a point of incident and request resolution within the IT Service Desk Team Adherence and adoption of the documented procedures Ensuring documentation for systems and services are maintained and reviewed Assisting other members of the Support team as required ensuring a coherent and standard approach is maintained to supporting the infrastructure KRA 1: Provide First and Second line support to the business Record, prioritise, assign and manage all requests and incidents made to the IT Service Desk Adhere to SLA?s according to the priorities set against each ticket raised Manage customer expectations and communications throughout the life of each ticket Escalate to other team members where appropriate Together with the other IT Service Desk members, provide continual IT service cover to the business during core hours. KRA 2: Documentation Maintaining infrastructure build documentation with incremental updates associated with process changes or introduction, compliance & security requirements Technical end user guides. Maintain technical documentation library and version control system KRA 3: General IT Support Adhere to IT Policies and Procedures Facilitate the development of IT colleagues. Pass on relevant knowledge to the rest of the team to enhance their effectiveness to the business and to ensure a positive team spirit prevails among the IT Department. Keep pace with technology advances. Contribute to the effective planning and development of the IT infrastructure to maximise the business benefit of new and changing technology. Carry out daily, weekly and monthly monitoring, maintenance and compliance tasks as required. KRA 4: Solution Implementation Support the Solutions and System Maintenance teams with projects where necessary Recording and tracking project issues and escalating to the necessary teams Working closely with users to support the implementation Supporting on communications with key stakeholders QUALIFICATIONSTechnical/ Functional Knowledge, Skills and Abilities Incident/Request Management Systems Enterprise Service Desk (500+ users) Active Directory Administration MS Office 2013 & 2016 MS Outlook 2016/OWA/Office 365/ Teams Mobile Technologies covering IOS, Android. File and Folder Access Management (NTFS) Basic Telephony (preferably Avaya) Windows 10 Client Operating System build and deployment Antivirus (preferably McAfee) Email & Web Security Filtering Technologies Backup software Windows Server 2008/2012/2016 administration and troubleshooting Remote Access Technologies MDM, mobile and tablet devices Desirable: Citrix XenApp Administration VMware VSphere Administration Microsoft SCCM TCP/IP, DHCP, DNS ABOUT AXAAXA Group is the world leader in insurance and asset management. We protect and advise our clients at every step in their lives, by offering products and services which satisfy their needs in the areas of insurance, personal protection, saving and asset management. AXA is the leading insurance brand worldwide, with over 100 million clients. We are transforming from payer to partner for our client, with a strong focus on risk prevention.Our mission: Empower people to live a better life. Our values: Customer First, Courage, Integrity and One AXA.AXA Partners is an AXA transversal business unit offering a wide range of solutions in assistance services, travel insurance and credit protection.AXA Partners? role is also to implement innovative solutions emerging from the AXA Innovation unit.Our mission is to help our Corporate clients to enrich their customers? experience, with more than 9,000 employees at their service anywhere, anytime.WHAT WE OFFERBy joining AXA Partners, you will work in a responsible company, which offers a real culture of expertise & diversity. Our focus is on accelerating the development of everyone?s skills, whilst offering attractive and competitive compensation and opportunities for professional development and growth.Additionally, at AXA, we work to make a real difference to people - when amazing things happen and when we create opportunities for a better life, the feeling of pride is extraordinary. no -- Principals only. Recruiters, please don’t contact this job advertiser. no -- Please, no phone calls about this job! no -- Reposting this message elsewhere is NOT OK.",Athlone,Ireland
Customer Assistant,4841439244,"About the role Tesco: Golden Island Contract: Seasonal (25.00 - 30.00) Shift Pattern: Flexible We pride ourselves on offering customers the biggest range of products around. And that's not just food, but everything from clothes and kettles to financial services. But did you know we offer the biggest job opportunities too? With stores across the UK and Ireland , and a variety of roles, we are always looking for people who are as passionate about helping customers as we are. Our Every Little Helps approach doesn't just apply to our customers. It's at the very heart of everything we do at work – and it's what makes us different. We believe in treating each other with respect, and everyone having the opportunity to get on. That's what makes Tesco such a great place to work Should you be successful in your application, your offerwill be subject to and conditional upon you providing your bank account details before your agreed start date. You will be responsible for Always put the customer first and consider them in everything you do. Get to know your customers and serve them with pride. Help to ensure products and services are available for customers at all times. Handle all products with care to maintain quality and ensure they reach the customer in the best condition. Keep the shop floor and back areas clean and tidy at all times. Using the training you receive, follow department routines and processes. Follow all company policies and adhere to Health and Safety routines. Whilst you will have a core role, you may be asked to support your colleagues by helping in other departments. You will need Able to give great, natural customer service by proactively smiling, greeting, acknowledging and helping customers. Works hard for customers, your team and your department. You are able to prioritise to ensure anything you do is right for our customers. Adaptable and resilient to meet the ever changing demands of our business. You must be able to follow instructions either verbal or written. You are reliable and a good timekeeper. You must be smart and tidy at all times. About us As well as offering competitive pay, we offer some of the best benefits to our colleagues in the industry from colleague discounts* to paid holiday, share schemes* and an award-winning pension. There are also great discounts on days out, gym membership and travel and you can look forward to plenty of personal rewards too. You'll hear a lot about 'opportunities to get on', whether that means progressing to management or gaining more confidence in your role by completing our Bronze, Silver and Gold training. subject to the rules of the schemes. What’s in it for you We offer excellent benefits that help to make Tesco a great place to work. “After 3 months you will receive a colleague clubcard, giving you 10% discount on your Tesco shopping throughout the year, both in-store and on-line”. There are also additional special offers available to colleagues throughout the year. no -- Principals only. Recruiters, please don’t contact this job advertiser. no -- Please, no phone calls about this job! no -- Reposting this message elsewhere is NOT OK.",Athlone,Ireland
