title,ad_id,desc,city,country,date,sector
Customer Service Assistant - Jameson Visitor Centre …,5499952319,"At the Jameson Distillery Midleton Visitor Centre, we live and love whiskey. Whiskey has been distilled at Midleton Distillery since 1825, and today it's where many of Ireland 's most famous whiskey brands are distilled including Jameson, Powers, Redbreast, Green Spot, Method & Madness and Midleton Very Rare. In addition, the distillery is home to the Jameson Distillery Midleton - one of Ireland's most impressive visitor centres. We believe that a team of down-to-earth, enthusiastic and charismatic people is necessary to bring our great whiskeys and buildings to life. Thus, with this objective in mind, we are inviting applications for our Customer Service Assistant positions in our Visitor Centre. Customer Service Assistant - a customer facing diverse job that will see you engaging with our valued Jameson fans throughout the entire visitor centre as Tour Guide, Bar & Retail Assistant in our Whiskey Bars & Shop & in our e-Commerce fulfilment area. What are we looking for? Outgoing and friendly personality High standards of customer and professional service Excellent communications skills Leaving certificate or equivalent Previous experience working in a fast-paced environment is beneficial Fluent English is essential, with the ability to speak German, French or another foreign language seen as beneficial Full Time positions to work 5 over 7 days are available from April 2022 until November 2022 to cover our peak season as we welcome Jameson fans from all over the world. We are also looking for Part-Time positions to work weekends with a view to Full-Time hours during summer months - this may suit college students Life at the Jameson Distillery Midleton Visitor Centre At Jameson, we live and love whiskey. Our shared spirit is guided by our values. Because special things happen when Real, Remarkable and Responsible people come together. We're proud to be part of the Irish Distillers and Pernod Ricard family, and the magic moments we create through our brands. Our culture is a blend of curiosity and craic, where everyone can be author of their own verse. Our enthusiasm for what we do is infectious. The spirit we share gives us purpose and makes life at Irish Distillers special. And what's life without a little spirit? What we offer We understand our people are what binds us to become makers of the world's most enjoyed whiskey. We treat our employees well and offer fantastic career and growth opportunities, in an environment that is fun, supportive and collaborative. Our benefits and perks support our team across health & wellbeing, family, finance and time off. You will get 50% discount from our food truck and 20% discount in our Whiskey shop. We believe that when you have smart, happy people working together, you can distil something truly special. Like a well-blended whiskey, we believe that diverse perspectives make us better and we welcome people from all backgrounds, experiences, orientations, and differences to create together the spirit that makes us great. Job Posting End Date: 2022-04-23-07:00 2022-04-11-07:00 no -- Principals only. Recruiters, please don’t contact this job advertiser. no -- Please, no phone calls about this job! no -- Reposting this message elsewhere is NOT OK. This is a part-time job.",Cork,Ireland,2022-04-09,Customer Service
Customer Service Specialist - Dutch,5495340327,"The Role At Personio, Customer Experience is more than one specific role. It is rather an integral part of our company culture and defines how our customer-facing teams work. Customer Experience follows the mission to maximize customer value in our everyday business. As part of this team, you enable our customers to understand the product, give feedback, encourage their growth, and make their people processes more successful. Join and become part of our exciting journey! As part of the International Customer Service team you will play a key role in helping our customers understand and utilise our product effectively. You will collect feedback, drive customer growth and help to bring HR processes to a new level. The long-term satisfaction of our customers is your success! Professional support of our customers by answering queries via e-mail and telephone Managing customer requests via our ticketing system The opportunity to constantly develop your knowledge and skills: The requests are exciting & varied Work closely with our product experts to ensure further development of our product are user-friendly and meet the needs of our customers Contributing to the success of the team by continuously driving our goals and optimising internal processes Creating and managing content for knowledge documentation What you need to succeed You must be fluent in English & Dutch You have experience in customer service in a technology or SaaS environment IT-savvy, with good analytical skills, quickly adapting to new software Communication is your thing: Outstanding written and verbal communication and enjoy interacting with customers You are a natural problem-solver who proactively finds solutions to problems An interest in working with HR departments from a wide range of companies and industries Your Learnings Customer communication, requirements management & stakeholder management You will learn how HR and recruiting processes work - from the start-up to the ""medium-sized business"" Independent, team and solution-oriented work in a dynamic and intercultural environment Expertise, among others in the tools Zendesk, JIRA, Gainsight Why Personio Aside from our people, culture, and mission, there are a variety of additional benefits that help make Personio a great place to work! Work with us and receive: Competitive compensation package that includes salary, benefits, and pre-IPO equity Two Impact days you can use to have an impact on the environment and society. One day is for an individual project and one for a company-wide initiative! #SocialResponsibility 26 days of paid vacation + 2 days off for Christmas and New Year's Eve (because we love what we do, but we also love vacation!) Annual personal development budget of €1,500 for conferences, courses, books, career coach, etc. Regular company and team events like Oktoberfest, ski trips, Christmas parties, and more! (COVID permitting) With PersonioFlex, decide for yourself where you work most effectively. For this, we offer you a flexible 50% in-office & 50% remote working framework. Our remote working policy includes the possibility to work from home or anywhere within the UK or European Economic Area. Choose between two mobility options: Tax Saver Commuter Ticket and the Bike to Work Scheme and receive a subsidy of 43.50€/month from Personio Comprehensive healthcare scheme covered for each permanent employee (excl. taxes). Enjoy training with Gympass with a subsidy of 30€/month from Personio Pension scheme with up to 5% matching contribution Discounts across a range of brands so you can save money while shopping at Adidas, LG, Bosch, Apple, Dia, etc. Mental health support, as we know that mental wellbeing plays a major role in both our personal and professional success. #PersonioCares Personio is an equal opportunities employer and does not discriminate on the grounds of gender, civil status, family status, sexual orientation, religion, age, disability, race or being a member of the traveller community. no -- Principals only. Recruiters, please don’t contact this job advertiser. no -- Please, no phone calls about this job! no -- Reposting this message elsewhere is NOT OK.",Dublin,Ireland,2022-04-09,Customer Service
"Overnight Customer Assistant - Ballywaltrim Lane, Bray, Co. …",5495301541,"Come work with us Great Perks * Hourly rate starting from €11.05 per hour and increasing to €14.13 per hour depending on shift worked. * Discounted Miles fuel. * Discounted K Coffee & Lunch during your shift. * Permanent contract s with guaranteed weekly hours. * 2 0 days holidays ... no -- Principals only. Recruiters, please don’t contact this job advertiser. no -- Please, no phone calls about this job! no -- Reposting this message elsewhere is NOT OK.",Wicklow,Ireland,2022-04-09,Customer Service & Call Centre
Air Logistics Customer Care Expert,5495353802,"Join our dedicated Air Logistics Customer Care team in Dublin and play a key role in the transportation of our customers’ goods on their journey across the globe, ensuring attention to detail and excellent customer service . Your Role The Customer Care Specialist will be part of a team within the Customer Care Location (CCL) responsible for direct interaction with our customers, proactive customer service, problem solving, customer follow up, interaction with our sales colleagues and equally asimportant, ensuring that our Operational Care Centres (OCC’s) have all of the necessary information (including systematic information) to be able to execute on our customer behalf. The Customer Care Specialist is responsible for ensuring that our customers experienceis a positive one each and every time they engage with Kuehne + Nagel, as well as documenting and investigating any deviations from the expected level of service provided. All of these activities are to be executed via KN Customer Care systems. Your Responsibilities Monitor customer shipments in order to provide proactive updates to customers and to problem solve (by collaborating with other stake-holders) in anticipation of a customer complaint. Inclusion and transfer of customer requirements into the KN systems (including sold rates and other agreements) so that Operational Care Centres (OCCs) are clearly informed about Deliverables Develop and on-board new customers and additional lanes of business from existing customers Qualification of customer inquiries, Provision of Quotations within corporate guidelines for pricing, Up-selling, and requisite follow up and closure Engage in regular communication with the Operational Care Centres (OCCs) and Revenue Care Centre (RCC), building strong relationships Adhere to existing K + N Guidelines, Standard Operating Procedures and Working Instructions Immediately report problems, disputes or discrepancies to Line Manager and document in case handling system Ensure compliance with company, industry and legal standards is adhered to across the function Performing any other duties agreed with your manager as and when necessary Your Skills and Experiences Experience in either freight forwarding or transport planning with key focus on airfreight Ability to understand and execute new processes Excellent knowledge of MS office features, especially excel Understand & respect the company confidentiality and compliance regulations (Code of Conduct) Strong affinity with required customer quality standards Ability to work on own initiative and as part of a team Very good time management skills with the ability to set priorities, fulfil critical tasks in time and keep to deadlines Perseverance and resistant to challenge Cope with change and embrace new technologies, demonstrate change management mind-set Ability to communicate effectively with an approachable nature The career path at Kuehne + Nagel Ireland is fast-paced and challenging, with opportunities for growth and learning; internal advancement is encouraged throughout the organisation. We are a Great Place to Work for the 10th consecutive year, reflecting the culture amongst our amazing teams who strive to go above and beyond every day. In our benefits package: -Salary reviewed annually -Bonus / profit share -Generous Annual leave allowances -Company Pension -Illness cover -Paid family leaves -Recognition awards -Wellbeing supports -Financial advisory initiatives We asked some of our employees Ann-Marie Lyons, Overland Manager Shannon, joined 25-2-2019 – “My favourite thing about K+N is the interaction between everyone. The company gives great social experiences. My career highlight to date was receiving an award at our end of year Line Manager Meeting.“ Stephanie Ireland, Key Account Manager, Joined 1-5-2018 – “You get a family feeling from the organisation. The people are more than just colleagues, I have developed some true friendships in the past 2 years” Adam Kirkby, Warehouse Team Leader, joined 11-9-2017 – “My favorite thing about Kuehne + Nagel is definitely the camaraderie and work ethic. Excelling in my role as team lead and developing my team and seeing them progress within the company has been my biggest achievement.” Elaine Irwin – Air Logistics Customer Care Manager – 12-03-2001 – “Kuehne+Nagel has given me the opportunity to develop a career over the past 20 years. They have encouraged me to take on different roles and always challenge myself outside my comfort zone and believed in me” Good Reasons to Join Over 125 years, we have become a leading global provider in innovative supply chain solutions. We have over 1400 locations in more than 100 countries around the globe, and 76000 employees working across our global logistics network.Our company believes that real, sustainable success is only possible through valuing both our employees and our customers equally. This is because 'Your Plus Shapes our Future'. no -- Principals only. Recruiters, please don’t contact this job advertiser. no -- Please, no phone calls about this job! no -- Reposting this message elsewhere is NOT OK.",Dublin,Ireland,2022-04-09,Customer Service & Call Centre
Outbound Telesales,5495307329,"Outbound Telesales This is an exciting time to join a fast paced, young dynamic business in Tuam, Galway - they are in a real period of growth so there will be career progression for a person with the right attitude and drive. The chosen candidate will have a track record in database manage... no -- Principals only. Recruiters, please don’t contact this job advertiser. no -- Please, no phone calls about this job! no -- Reposting this message elsewhere is NOT OK.",Galway,Ireland,2022-04-09,Customer Service & Call Centre
Customer Service Representative,5495299953,"Role: Customer Service Representative Job Type: Permanent Location: Letterkenny , Donegal Careers at TCS: It means more TCS is a purpose-led transformation company, built on belief. We don't just help businesses to transform through technology. We support them in making a meaningful differen... no -- Principals only. Recruiters, please don’t contact this job advertiser. no -- Please, no phone calls about this job! no -- Reposting this message elsewhere is NOT OK.",Donegal,Ireland,2022-04-09,Customer Service
Business Support Specialist,5495346560,"Duration: 6 months initially (potential to extend) Location: Dublin (Remote initially) Our client, a global financial services business are seeking to hire a Business Support Specialist on an initial contract basis to support their Technology & Operations Reporting function. You will support various regulatory deliverables including Outsourcing, Operational Resilience and Resolution & Recovery planning. The role sits within the COO & Business Support team who work across various areas of the business to gather key data & metrics for reporting. Key Responsibilities Include: Working on a COO / Business Support Team - critically evaluate the gathered information, reconcile variances and question inconsistencies. Present complex data in a coherent manner, tailoring to various audiences where required. Preparing content for Technology & Operations senior leaders at various council, committee and board meetings Collaborating with Regional and Global reporting teams to ensure consistent application of enterprise wide reporting requirements Coordinating the risk and outsourcing governance routines Providing frequent reporting on critical measures and indicators with relation to the outsourced services received and services provided as part of the Shared Services model Skills & Experience: Business / Operations support experience, preferably within financial related industry Strong stakeholder management experience with ability to liaise with senior level Detail orientated and well organised Experience working with C-Level / Executive / Board management advantageous Save & Close Accept all Strictly necessary Performance Targeting Functionality Strictly necessary Performance Targeting Functionality Name Domain Expiration Description .AspNetCore.Antiforgery.6YYsGt-Vbxo Session This cookie is generated by the application server and used to prevent malicious cross-site request forgery (known as XSRF and CSRF) COP_Vacancies Session This cookie is used to remember a user’s previously viewed content which is then used to tailor the users ongoing experience Name Domain Expiration Description _pk_id.18.fa32 1 year This cookie name is associated with the Piwik open source web analytics platform. It is used to help website owners track visitor behaviour and measure site performance. It is a pattern type cookie, where the prefix _pk_id is followed by a short series of numbers and letters, which is believed to be a reference code for the domain setting the cookie. _pk_ses.18.fa32 30 minutes This cookie name is associated with the Piwik open source web analytics platform. It is used to help website owners track visitor behaviour and measure site performance. It is a pattern type cookie, where the prefix _pk_ses is followed by a short series of numbers and letters, which is believed to be a reference code for the domain setting the cookie. _ga .harveynash.ie 2 years This cookie name is associated with Google Universal Analytics - which is a significant update to Google's more commonly used analytics service . This cookie is used to distinguish unique users by assigning a randomly generated number as a client identifier. It is included in each page request in a site and used to calculate visitor, session and campaign data for the sites analytics reports. By default it is set to expire after 2 years, although this is customisable by website owners. _gid .harveynash.ie 1 day This cookie name is associated with Google Analytics. It is used by gtag.js and analytics.js scripts and according to Google Analytics this cookie is used to distinguish users. _gat_UA-20940664-10 .harveynash.ie 1 minute This is a pattern type cookie set by Google Analytics, where the pattern element on the name contains the unique identity number of the account or website it relates to. It appears to be a variation of the _gat cookie which is used to limit the amount of data recorded by Google on high traffic volume websites. Name Domain Expiration Description NID .google.com 6 months 3 days This cookie is set by DoubleClick (which is owned by Google) to help build a profile of your interests and show you relevant ads on other sites. monsido 1 month These cookies are used to deliver adverts more relevant to you and your interests. They are also used to limit the number of times you see an advertisement as well as help measure the effectiveness of the advertising campaign. They are usually placed by advertising networks with the website operator's permission. They remember that you have visited a website and this information is shared with other organisations such as advertisers. Quite often targeting or advertising cookies will be linked to site functionality provided by the other organisation. lissc .linkedin.com 1 year Used to ensure there is correct SameSite attribute for all cookies in that browser bcookie .linkedin.com 2 years This is a Microsoft MSN 1st party cookie for sharing the content of the website via social media. bscookie . 2 years Used by the social networking service, LinkedIn, for tracking the use of embedded services. li_gc .linkedin.com 1 year 12 months Used to store consent of guests regarding the use of cookies for non-essential purposes lidc .linkedin.com 1 day This is a Microsoft MSN 1st party cookie that ensures the proper functioning of this website. VISITOR_INFO1_LIVE .youtube.com 6 months This cookie is set by Youtube to keep track of user preferences for Youtube videos embedded in sites;it can also determine whether the website visitor is using the new or old version of the Youtube interface. YSC .youtube.com Session This cookie is set by YouTube to track views of embedded videos. GPS .youtube.com 30 minutes This is a pattern type cookie set by Google Analytics, where the pattern element on the name contains the unique identity number of the account or website it relates to. It appears to be a variation of the _gat cookie which is used to limit the amount of data recorded by Google on high traffic volume websites. IDE .doubleclick.net 1 year This cookie carries out information about how the end user uses the website and any advertising that the end user may have seen before visiting the said website. Name Domain Expiration Description lang .linkedin.com Session There are many different types of cookies associated with this name, and a more detailed look at how it is used on a particular website is generally recommended. However, in most cases it will likely be used to store language preferences, potentially to serve up content in the stored language. no -- Principals only. Recruiters, please don’t contact this job advertiser. no -- Please, no phone calls about this job! no -- Reposting this message elsewhere is NOT OK.",Dublin,Ireland,2022-04-09,Customer Service & Call Centre
"Product Support Specialist, Small & Medium Businesses",5495333863,"Product Support Specialist, Small & Medium Businesses As a Product Support Specialist, you’ll resolve most complex issues for our SMB users, and work cross-functionally to drive projects that optimize user experience and enable Stripe’s growth at scale. Deliver incredible experiences to Stripe users. Stripe builds financial tools and economic infrastructure for the internet. We’re helping small startups and the world’s biggest companies build products, create business models, and scale their efforts globally. We’re live on 5 continents with over 100 supported currencies and rapidly expanding to power the online payments infrastructure throughout the world. While helping our millions of small and medium sized users, the SMB Operations team works closely with every part of Stripe, learning the intricacies of how we build products, manage risk, launch new countries, and keep users happy. As a part of our fast growing SMB Operations team, you’ll focus on surfacing insights to address user pain points and root causes at scale, as well as interacting with our SMB users, handling most complex support requests and optimizing their Stripe experience. If you’re constantly curious, an effective communicator, and a fast researcher & problem solver, we want to hear from you! You’ll: Become a subject matter expert surrounding one or more of Stripe’s product(s), and work with users directly over email to resolve the most complex issues Use data to identify and surface product insights and trends from user interactions Advocate for optimizing our products and services on behalf of our SMB users Drive initiatives and process changes to excel and scale our support operations Work with external partners to improve support workflow and productivity on all channels Optimize our self-help channels to better enable our users to address their questions, improve internal and external product documentation to scale and optimize our global issue resolution workflows Have an opportunity to learn how Stripe operates from the ground up and make a real impact on the future of the organization We’re looking for someone who: Is curious, loves learning about technical products, and is energized by the challenge of solving difficult problems for users Has strong stakeholder management and communication skills, both written and verbally Is organized and a self-starter; able to scope projects and drive initiatives Is able to prioritize and quickly adapt to changing environment and competing priorities Is data savvy; able to drive insights from large data set and come up with action plan 2+ years of experience in business user facing/ project management role preferred You should include these in your application: Your background and accomplishments Why you want to work in this role Languages you’d be comfortable communicating in beyond English, if any Please find our EU applicant personal information notice here At Stripe, we're looking for people with passion, grit, and integrity. You're encouraged to apply even if your experience doesn't precisely match the job description. Your skills and passion will stand out—and set you apart—especially if your career has taken some extraordinary twists and turns. At Stripe, we welcome diverse perspectives and people who think rigorously and aren't afraid to challenge assumptions. Join us. #LI-NF2 no -- Principals only. Recruiters, please don’t contact this job advertiser. no -- Please, no phone calls about this job! no -- Reposting this message elsewhere is NOT OK.",Dublin,Ireland,2022-04-09,Customer Service & Call Centre
Customer Service Specialist,5496303455,"PE Global are recruiting for a Customer Service Specialist on behalf of our client, this role will be based in Naas . Hours of work are Mon - Fri 9am - 17:30pm. Excellent remuneration and conditions. Key Tasks: * Timely and effective communication with Customers & internal departments via e... no -- Principals only. Recruiters, please don’t contact this job advertiser. no -- Please, no phone calls about this job! no -- Reposting this message elsewhere is NOT OK.",Kildare,Ireland,2022-04-09,Customer Service
Business Support Specialist (Site Focal),5495336057,"At Boeing, we innovate and collaborate to make the world a better place. From the seabed to outer space, you can contribute to work that matters with a company where diversity, equity and inclusion are shared values. We’re committed to fostering an environment for every teammate that’s welcoming, respectful and inclusive, with great opportunity for professional growth. Find your future with us. Position Purpose Supports and integrates activities across more than one discipline within Boeing International Enterprise Services (BIES). Provides administrative, personnel and customer support to facilitate on-site activities. Supports project and process plans and in the implementation of policies and procedures. Develops and maintains relationships and partnerships with customers, stakeholders and peers. Supports multiple administrative processes. Responds to customer requests. Responsibilities The Site Focal role is positioned to ensure the smooth and seamless operation of the Boeing Cloghran house office and Bloodstone Office providing multi-disciplinary business process and administrative support to the residents, working closely with internal business functions and external contractors and suppliers. Duties will include (but are not limited to): Input and track all facility related issues through supplier web based platforms to completion with consistent resident communications and fix timelines being provided. Build relationship with FM providers to ensure Boeing site operation consistency is adhered. Responsible for raising purchase requisitions for facility related items through procurement internal business systems. Invoice management support for facility and business procurement when required. Development and management of Site Emergency Planning including documentation updates through internationally provided processes, templates and testing. Update site / employee call tree and dialogic scenarios. Accountability for ensuring that all Health and Safety policies and procedures are systematically applied in order to facilitate the safe, secure, healthy and compliant operation of site activities. Maintains Site records including management of accounts and facility OEM manuals. Internal business support SharePoint management. Occasional support to cover as Business Support Specialist/ Site Focal for other sites. Opportunities to support projects across the region in a support or leadership capacity Skills and Competencies: Must be a proactive, assertive, high energy individual and can work efficiently in an environment where priorities can change frequently. Must be highly responsive to the needs generated by the day-to-day activities of the site and business management requirements. Should exhibit mature and independent judgment, initiative and flexibility. Able to solve problems as they arise and use initiative or seek clarification as appropriate. High levels of discretion are required. Demonstrated experience of working in a confidential environment. Precise, accurate, and meticulous and have outstanding organisational skills. Be capable working well with others. Excellent communication skills; both verbal and written communication. Have experience working with and building relationships with a wide range of individuals/business partners within an organisation. Be computer literate with excellent experience of MS Office. Word, Excel and PowerPoint are essential. Experience with EHS is beneficial A prior facilities role would be advantageous Preferably experienced in working in a multicultural environment. Flexible approach Willing to travel as required between the Dublin offices, occasional travel to the UK may be required All information provided will be checked and may be verified. This requisition is for a locally hired position in Ireland . Candidates must have current legal authorisation to work immediately in the EU. Boeing will not attempt to obtain Immigration and labour sponsorship for any applicants. Benefits and pay are determined at the local level and are not part of Boeing U.S. based payroll. Equal Opportunity Employer: Boeing is an Equal Opportunity Employer. Employment decisions are made without regard to race, color, religion, national origin, gender, sexual orientation, gender identity, age, physical or mental disability, genetic factors, military/veteran status or other characteristics protected by law. no -- Principals only. Recruiters, please don’t contact this job advertiser. no -- Please, no phone calls about this job! no -- Reposting this message elsewhere is NOT OK.",Dublin,Ireland,2022-04-09,Customer Service & Call Centre
