title,ad_id,desc,city,country
We want you in our team of professionals,5433744720,"Hi and welcome, thanks for reading our add, we’re a family run business with a close and loyal team and we are looking to add to our team in our cosy and busy café in south Dublin, we are relaxed and friendly and are happy to train if you need.. please pop be and say hi and we’d love to give you an opportunity to join a lovely team! ???? yes -- OK for recruiters to contact this job advertiser. yes -- Phone calls about this job are ok. Yes – This message may be reposted elsewhere.",Dublin,Ireland
Chef Clonakilty,5267644057,"Harte Group, Clonakilty, By Pass Road, Clonakilty, County Cork is looking for a Chef to join their fantastic team. Shift is 7am - 4pmExperienced required Ability to work in a fast paced environment Excellent interpersonal and communication skillsNumerical abilitiesThe ability to work as part of a teamThe ability to use initiativeSound judgement with the ability to make decisionsSelf-motivatedGood attention to detailKnowledge of Food Hygiene would be beneficial no -- Principals only. Recruiters, please don’t contact this job advertiser. no -- Please, no phone calls about this job! no -- Reposting this message elsewhere is NOT OK.",Clonakilty,Ireland
Kitchen Porter (Casual/Flexible) Full-time/ Part-time hours,5270779132,"Experience we are looking for - To have worked in a hotel kitchen or branded restaurant chain. To be able to work in a fast paced environment and to enjoy itTo be able to work independently, being self motivated to complete the tasks. Flexibility - to enjoy working different shift patterns and seeing the operation on different days of the week including the weekends as well as mornings, or evenings (no split shifts here)Follow hygiene and cleanliness standards to ensure the kitchen is kept clean and tidy. The Job - To clean all pots, pans and any other equipment as required and ensure they are stored correctly and neatly. Ensure all crockery, cutlery and glassware are washed properly, dried and stored correctly and are available for outlets as required. Maintenance of kitchen area, sweeping/mopping floors, steam clean or hose out bins as required and emptying bins when full etc. To work closely with the hotels management team to ensure compliance with all hygiene and health and safety programmes. To ensure excellent food hygiene practice is observed in the entire kitchen area. Ensure the kitchen equipment is in working order and report any maintenance issues. To ensure employee areas are kept clean and tidy. Why come and work for usto receive practical training, development and progression within a dynamic and rapidly expanding company. If you want a career in Hospitality then look no further, we have great programs to support your development towards a long and successful career. Some of the great benefits of working for us include: Earn thousands by referring a friend to work with usStay at one of our Jurys Inn or Leonardo Hotels UK for a hugely discounted rate and get a reduced rate for friends and family if they want to stay tooCompany Pension Scheme, Life assurance & Wellbeing support28 days holiday entitlement including bank holidays, increasing with service to a maximum of 33 days (we even offer Wedding Leave too)The opportunity to work for a well - respected brand where people development is at the heart of our cultureAn array of learning courses in which you can attend - the sky is the limit with your development with us, we nourish your skills and talents to develop leaders of the futureHappy Rewards – earn performance based points and use them towards that desired product you've been meaning to buy or hey even that well deserved day off!!Employee of the month earning you a little bonus and fame for that entire month. Flexible working hours - shift working is what we do but not split shifts – we want you to have a work - life balance tooUniform & Meals on dutyMonthly / Quarterly engagement activities - we like to have fun while working hardAnnual Charity Event Day - we help and support our communitiesLots of locations in the UK and Ireland which mean that if you want to develop or just fancy a change of scenery, we can help you to move and provide relocation support Jurys Inn Cork Jurys Inn Cork, Anderson's Quay, Cork, County Cork , T12 DCR9 Job RefJI9567BranchJurys Inn CorkLocationCorkSalary/BenefitsCompetitive Salary and Amazing Benefits Contract typeFlexi - Part TimeHoursFull TimeDate posted02/11/2021Closing date04/12/2021 About Jurys Inn Cork Featuring dark wood furnishings, the warmly decorated rooms come with free Wi - Fi, flat - screen TVs, and tea and coffeemaking equipment. Upgraded quarters include sofabeds. Room service is available. Breakfast is offered for a fee. There's also an unfussy restaurant that has a bar. About Leonardo & Jurys Inn As an employer of choice, we put a big emphasis on career development and as a rule we recruit our operations team members for personality rather than experience - it is all about you and how you interact with others, how you can demonstrate our values which are to be:Consistent, Friendly, Genuine, Positive and WillingWe believe in developing our people and growing our management teams through our excellent Learning & Development programmes. 80% of our General Managers joined the business in operational roles and have progressed through the Company with the help of our great development and the opportunities that exist being a multi - site and growing business. Our Vision & ValuesOur vision is very simply, we aim to exceed our guests' expectations by delivering outstanding results through exceptional people. © 2021 | | | powered by Recruit Genie no -- Principals only. Recruiters, please don’t contact this job advertiser. no -- Please, no phone calls about this job! no -- Reposting this message elsewhere is NOT OK. This is a part-time job.",Cork,Ireland
Bar Manager Required for 5* Hotel in Co Cork,5273556690,"Description Are you an experienced Bar Manager looking for your next challenge?We have an exciting opportunity for a Bar Manager to join the Food and Beverage team of our client, a stunning 5-star property in Cork. The Bar Manager will be responsible for the restaurant and bar food and beverage service and will report directly to the Food and Beverage Manager. The ideal candidate will have previous experience in a Bar Management role, managing large volume beverage service, preferably in a four or five-star property. You must have a passion for delivering excellent customer service and have experience of training and motivating your team to achieve this. Main duties include: Managing all bar operations, ensuring compliance of brand standards and consistently excellent levels of guest serviceAssist in the management of all F&B areas including C&B, to deliver excellent guest serviceManage, train and develop team membersDevelop menus and promote salesSet departmental targets and objectives, budgets, policies and procedures and work within budget guidelines Salary Neg depending on experience no -- Principals only. Recruiters, please don’t contact this job advertiser. no -- Please, no phone calls about this job! no -- Reposting this message elsewhere is NOT OK.",Cork,Ireland
Chef de Partie for 4* Hotel West Cork. Accommodation Provided!,5273553829,"Description We are looking for a passionate and motivated Chef de Partie for a busy 4-star property in West Cork. If you are looking for a property that you can develop then this is the opportunity for you. You will report to both the Sous Chef and the Exec Head Chef. If you have experience as a Demi CDP/CDP then we would love to hear from you. An excellent opportunity to further your career by working on one of Corks top hotels is on offer for the right person. You will need to be able to work in Ireland fulltime in order to be considered for the role. Accommodation can be provided if you need to relocate no -- Principals only. Recruiters, please don’t contact this job advertiser. no -- Please, no phone calls about this job! no -- Reposting this message elsewhere is NOT OK.",Cork,Ireland
Food & Beverage Manager for 5* Hotel in Co Cork,5273553696,"Description Are you an experienced Food and Beverage Manager looking for your next challenge? Then, we have the perfect role for you! We have a fantastic opportunity for an experienced Food and Beverage Manager to join the management team of this stunning 5* property in Cork. The ideal candidate will have previous experience in a similar role with strong food and beverage operations experience. You must have the ability to lead, motivate and develop your team as well as strong organisational and communication skills. A hotel management qualification would be preferable, but it is not essential. In return we can offer an excellent salary for the right person, along with ongoing training and development and career advancementIf you are interested to hear more please send your CV via the link provided and we will be in touch no -- Principals only. Recruiters, please don’t contact this job advertiser. no -- Please, no phone calls about this job! no -- Reposting this message elsewhere is NOT OK.",Cork,Ireland
Executive Head Chef for Stunning 4* Hotel in Co Cork,5275783743,"Description We are seeking an experienced Head Chef on behalf of our client, a stunning hotel in Co Cork. You must have experience as Head Chef in a 4 or 5-star hotel high end restaurant. The Head Chef will be responsible for the day to day running of this busy kitchen, including menu planning, budget and cost control, minimising waste, food hygiene, health and safety etc. The ideal candidate will have experience in high volume conference and banqueting. You must have a passion for food and excellent team management, motivation and organisation skills. Excellent Salary no -- Principals only. Recruiters, please don’t contact this job advertiser. no -- Please, no phone calls about this job! no -- Reposting this message elsewhere is NOT OK.",Cork,Ireland
Kitchen Staff,5357968583,"The ideal applicants We\'re looking for fun, enthusiastic, passionate people to join our hard-working teams. We recruit for personality and, as a UK Top Employer with an award-winning training programme, we know that we can teach you the skills to succeed. What\'s in it for you? We offer competitive hourly rates for all of our team members: a free meal and a drink, when working a four-hour shift a 50% discount on food and soft drinks, when working; a 20% discount on all food, drinks and hotel accommodation (for you and up to three guests), when not working ?1 extra per hour, for hours worked between midnight and 5.59am bonus scheme - earn up to 19% of your pay availability of guaranteed-hours contracts and variable-hours contracts paid holiday free shares (after a qualifying period) loyalty reward scheme The role At a glance, your role is to deliver excellent customer service to make hungry and thirsty customers happy! We open our doors early in the morning and sometimes don\'t close them until late at night, so offering great flexibility of working hours. Under 18\'s may attract a lower rate of pay. no -- Principals only. Recruiters, please don’t contact this job advertiser. no -- Please, no phone calls about this job! no -- Reposting this message elsewhere is NOT OK.",Cork,Ireland
"Director IT, Delivery Lead",5275782673,"For over 30 years, Gilead has built a culture of excellence. As a research - based biopharmaceutical company, we are revolutionizing healthcare by bringing medicines to patients in the areas of HIV, AIDS, liver diseases, hematology and oncology, and inflammation and respiratory diseases. Kite, a leader in engineered T cell therapy, sits within Gilead, changing the way we fight cancer. Together we deliver life - saving therapies to people in need. With the dedication you bring to the workplace, you will be part of a team that is changing the world and helping millions of people live healthier, more fulfilling lives. Your career growth is important to us, we will celebrate your successes and value your contributions. Your voice represents Gilead, and you are fundamental to our success. Here at Gilead, we inspire your diverse perspectives through our inclusive environment. What impact do you want to make on the world? You Matter - Being Here MattersWe now have an open position for a Director of IT within IT PDM Manufacturing DevOps group. This group is responsible for delivering, sustaining and supporting IT solutions in collaboration with business engagement leads, business partners and other IT partners i. e. Infrastructure, integration. The Director, IT Devops lead is responsible for managing a cross functional global team for the development, deployment, and operations of new technology platforms and solutions for the commercial manufacturing business. The Director, IT Devops lead will collaborate closely with Capability Manager and Domain Architect in the proposal of new technologies or features to enable business capabilities with agility, velocity and quality while optimizing costs. The Director, IT Devops lead will oversee technical design and implementation of solutions, ensures development execution according to plan. They will oversee the operational support, including maintenance, production issue resolution, performance measurements against KPIs. The Director, IT Devops lead will be responsible for the management of the end - to - end development and operations engagement with solution vendors and managed services. General responsibilities for this position will include (but, are not limited to) the following:Management of Delivery leads, and Operation leadsResponsible for managing functional IT resources and accountable for project work estimates. This includes developing high level proposal with timelines, tasks and resources associated for a project. Anticipates change and escalates accordinglyAct as subject matter expert on Manufacturing IT solutions and systems, primarily responsible for maintaining and managing the associated systems in accordance with Gilead policiesSupporting implementation of full MES Electronic Batch Record (EBR) project including Core application development and implementation of the same on multiple sites. Lead the implementation, upgrades and sustainment of business applications i. e Maximo, Antares, MES, SalesforcePartner with Business Engagement team to craft the business case and Deliver the Projects to support Business strategyManage and partner with Implementation Vendor to ensure the effective execution of the projects and services, holding them accountable to project scope, SLAs and critical metricsResponsible for governing level 2, 3, 4 and 5 stack applications represented in Manufacturing ISA - 95 architecture modelsProvides direction, functional guidance and inputs to technical teams on complex requirements/ development, configuration and implementation efforts, enhancing the expertise of IT colleaguesSupport Validation/QA teams on ensuring GxP compliance of commercial manufacturing systems with the corporate standard for IT change management and IT SOPs following 21 CFR Part 11 and Annex 11 requirementsAdditional Skills:Must have demonstrated implementation experience of MES PASX solution in a Bio - pharmaceutical industry, and excellent experience in other Manufacturing and Supply Chain technologies. Strong people manager and leaderLaser focused and strong delivery experience managing large, complex projects. Good understanding of systems including ERP (Oracle EBS/SAP), Werum Pas - X and integration systems like Oracle SOA Middleware, Dell BoomiExperience on GxP applications (and good Documentation Practices) and working in SOX audited environments is a plusExperienced with functional/technical implementation supply planning applications based on the functional designsSignificant and relevant years of IT experience in implementing full Electronic Batch Record in Manufacturing areaTrack record working in a dynamic, highly iterative environmentCommunication – you communicate with business partners and are able to communicate complex solutions and value in business terms. Verbal social skills am essential and ability to adapt and learn to changing business environment and domains are requiredMust have project/applications lead experience managing small to medium sized global projects in the manufacturing area as well as cross functional experience managing a diverse group of individuals ranging from technical (internal or external), business users, validation, QA and collaborating with project managers driving tasks to completionHave a strong working understanding of installed systems, with the ability to troubleshoot and resolve many problems on the existing system(s) supported and is aware of integration points with other systemsDemonstrates proficiency with one or more technology environments, with the ability to learn and apply new and emerging concepts very quicklyGood understanding of GxP compliance and 21 CFR Part 11 requirements no -- Principals only. Recruiters, please don’t contact this job advertiser. no -- Please, no phone calls about this job! no -- Reposting this message elsewhere is NOT OK.",Cork,Ireland
Accommodation Supervisor,5357968121,"We are a family-owned vibrant multi-award winning, design-led 4-star destination hotel with an eclectic vibe and a strong sense of fun with spectacular unrivalled views of Cork City.107 Guestrooms and 26 Self-Catering Apartments Cameo Cinema Motion Health Club with 20m indoor Swimming Pool and Gym Bellevue Spa Panorama Bistro and heated outdoor Botanical Terrace The Gallery Meeting & Banqueting Suite Victorian Gardens & Woodlands Car-parking, Wi-Fi, and Press Reader Rooftop Bar & Terrace We are now looking for an Accommodation Supervisor to join the team!To ensure the smooth and efficient management of the assigned Housekeeping outlets.To assist other departments when required.To ensure guests requests are managed correctly and to liaise with all relevant departments with regards to special requests.To ensure the hotel achieves the highest standards of luxury and those are consistently delivered to our guests.To carry out departmental audits to ensure consistency by all team members.To ensure that the Hotel?s Vision & Mission statement is communicated to the team.To ensure that service areas of responsibility are clean and well maintained (both front & back of house).To ensure that the ambience in departments (lights, music and temperature) are controlled.To report defective materials and equipment to the appropriate departments.Ensure that all new initiatives are implemented in the agreed time frame.To ensure that personal objectives are set and achieved on a yearly basis.To attend meetings as required.To ensure there is management presence at peak service times.To ensure a consistently high level of security is well maintained throughout the Hotel. no -- Principals only. Recruiters, please don’t contact this job advertiser. no -- Please, no phone calls about this job! no -- Reposting this message elsewhere is NOT OK.",Cork,Ireland
