title,ad_id,desc,city,country
young an to help on building,4990427907,"looking for young man to help with small builder no -- Principals only. Recruiters, please don’t contact this job advertiser. no -- Please, no phone calls about this job! no -- Reposting this message elsewhere is NOT OK.",Dublin,Ireland
Caretaker/Maintenance Person,5055812071,"Application Details Share Eligibility to participate on CE is generally linked to those who are years or over and in receipt of a qualifying social welfare payment for 1 year or more or 18 years and over for certain disadvantaged groupsour eligibility will have to be verified by the Departmentr> You can register your interest by selecting the -Register your interest- button or you can a case officer in your local Intreo Centrer> Applicants should supply suitable character references and be prepared to complete a Garda vetting application formr> Duties The position will be in the above areahis is a developmental opportunity, no experience is necessaryccredited training will be provided to support your careeruties will include painting, carpentry and general maintenance, general caretaking, opening and closing centre, setting up for events position availabletarting date will be 1st 2020ocation:CYMS Hall, Killorglinpplications quoting PPS Noo CE Supervisor - Aidan Clifford, KCYMS Management Ltd, Mill Road, Killorglin, Coerry or by o cymskillorglinmto office -9762053r> no -- Principals only. Recruiters, please don’t contact this job advertiser. no -- Please, no phone calls about this job! no -- Reposting this message elsewhere is NOT OK.",Killorglin Dromavally Kerry,Ireland
Caretaker/Cleaner,5055812072,"Application Details Share Eligibility to participate on CE is generally linked to those who are years or over and in receipt of a qualifying social welfare payment for 1 year or more or 18 years and over for certain disadvantaged groupsour eligibility will have to be verified by the Departmentr> You can register your interest by selecting the -Register your interest- button or you can a case officer in your local Intreo Centrer> Applicants should supply suitable character references and be prepared to complete a Garda vetting application formr> Duties The position will be in the above areahis is a developmental opportunity, no experience is necessaryccredited training will be provided to support your careeruties will include cleaning of main hall, snooker hall and meeting rooms, opening and closing centre, setting up for events position availabletarting date will be 14th 2020ocation:CYMS Hall, Killorglinpplications quoting PPS Noo CE Supervisor - Aidan Clifford, KCYMS Management Ltd, Mill Road, Killorglin, Coerry or by o cymskillorglinmto office -9762053r> no -- Principals only. Recruiters, please don’t contact this job advertiser. no -- Please, no phone calls about this job! no -- Reposting this message elsewhere is NOT OK.",Killorglin Dromavally Kerry,Ireland
GAA Sports Grounds Caretaker,5061691555,"Application Details Share Eligibility to participate on CE is generally linked to those who are years or over and in receipt of a qualifying social welfare payment for 1 year or more or 18 years and over for certain disadvantaged groupsour eligibility will have to be verified by the Departmentr> You can register your interest by selecting the -Register your interest- button or you can a case officer in your local Intreo Centrer> Applicants should supply suitable character references and be prepared to complete a Garda vetting application formr> Duties Caretaking of club house and grounds including small repairs, painting, cleaning, general maintenance and preparing for matchesr> no -- Principals only. Recruiters, please don’t contact this job advertiser. no -- Please, no phone calls about this job! no -- Reposting this message elsewhere is NOT OK.",V HY Portmagee Kerry,Ireland
Caretaker/Horticulture,5087343455,"Application Details Share Eligibility to participate on CE is generally linked to those who are years or over and in receipt of a qualifying social welfare payment for 1 year or more or 18 years and over for certain disadvantaged groupsour eligibility will have to be verified by the Departmentr> You can register your interest by selecting the -Register your interest- button or you can a case officer in your local Intreo Centrer> Applicants should supply suitable character references and be prepared to complete a Garda vetting application formr> Duties Caretaker/maintenance at St Senans GAA Club, Mountcoal, Listowel, Co Kerryuties to include Mowing of Pitch, Strimming, Weed Control, Upkeep of Grounds and Cleaning of Dressing Rooms and Club Rooms, All work associated with the upkeep of a busy GAA Clubr> no -- Principals only. Recruiters, please don’t contact this job advertiser. no -- Please, no phone calls about this job! no -- Reposting this message elsewhere is NOT OK.",Mountcoal Kerry Ireland,Ireland
Caretaker/Horticulture,5087343456,"Application Details Share Eligibility to participate on CE is generally linked to those who are years or over and in receipt of a qualifying social welfare payment for 1 year or more or 18 years and over for certain disadvantaged groupsour eligibility will have to be verified by the Departmentr> You can register your interest by selecting the -Register your interest- button or you can a case officer in your local Intreo Centrer> Applicants should supply suitable character references and be prepared to complete a Garda vetting application formr> Duties Caretaker/maintenance at Abbeydorney GAA Club, Abbeydorney, Co Kerryuties to include Mowing of Pitch, Strimming, Weed Control, Upkeep of Grounds and Cleaning of Dressing Rooms and Club Rooms, All work associated with the upkeep of a busy GAA Clubr> no -- Principals only. Recruiters, please don’t contact this job advertiser. no -- Please, no phone calls about this job! no -- Reposting this message elsewhere is NOT OK.",Abbeydorney Montanagay Kerry,Ireland
Window Fabricator / Glazier,5107809494,"Share Window Fabricator/ Glazier REQUIRED Fabrication of windows and doors, duties to include cutting profile, assembly components, drilling, glazingorking in a fast efficient production lineust have at least 2 years experience in the Window & Door / Glazing Industry, Top Class workmanship, exceptional attention to detail and be an extremely competent individual who can work as part of a team / on their own initiativeExperience in dealing in all uPVC, Timber, Aluclad and Aluminium Windows & Doors systems is an Advantage, Construction & Technical knowledge Career Level Not Required Candidate Requirements Essential Minimum Experienced Required Years:2 Minimum Qualification:No QualificationDesirableAbility Skills:Manual, Skilled Trades Competency Skills:Manufacturing, Teamwork no -- Principals only. Recruiters, please don’t contact this job advertiser. no -- Please, no phone calls about this job! no -- Reposting this message elsewhere is NOT OK.",Ballydesmond Glencollins Lower Cork,Ireland
Caretaker/Maintenance Person,5109254791,"Application Details Share Eligibility to participate on CE is generally linked to those who are years or over and in receipt of a qualifying social welfare payment for 1 year or more or 18 years and over for certain disadvantaged groupsour eligibility will have to be verified by the Departmentr> You can register your interest by selecting the Register your interest button or you can a case officer in your local Intreo Centrer> Applicants should supply suitable character references and be prepared to complete a Garda vetting application formr> Duties The position will be in the above areahis is a developmental opportunity, no experience is necessaryccredited training will be provided to support your careeruties will include painting, carpentry and general maintenance, general caretaking, opening and closing centre, setting up for events position availabletarting date will be 1st 2020ocation:CYMS Hall, Killorglinpplications quoting PPS Noo CE Supervisor - Aidan Clifford, KCYMS Management Ltd, Mill Road, Killorglin, Coerry or by email to cymskillorglinmto office -9762053r> no -- Principals only. Recruiters, please don’t contact this job advertiser. no -- Please, no phone calls about this job! no -- Reposting this message elsewhere is NOT OK.",Killorglin Dromavally Kerry,Ireland
Caretaker Community Centre Castleisland,5114010530,"Application Details Share Eligibility to participate on CE is generally linked to those who are years or over and in receipt of a qualifying social welfare payment for 1 year or more or 18 years and over for certain disadvantaged groupsour eligibility will have to be verified by the Departmentr> You can register your interest by selecting the -Register your interest- button or you can a case officer in your local Intreo Centrer> Applicants should supply suitable character references and be prepared to complete a Garda vetting application formr> Duties Maintaining and sanitizing the buildingacilitating all activities associated with the centre no -- Principals only. Recruiters, please don’t contact this job advertiser. no -- Please, no phone calls about this job! no -- Reposting this message elsewhere is NOT OK.",Castleisland Knockananlig Kerry,Ireland
Caretaker Ivy Leaf Castleisland,5114010531,"Application Details Share Eligibility to participate on CE is generally linked to those who are years or over and in receipt of a qualifying social welfare payment for 1 year or more or 18 years and over for certain disadvantaged groupsour eligibility will have to be verified by the Departmentr> You can register your interest by selecting the -Register your interest- button or you can a case officer in your local Intreo Centrer> Applicants should supply suitable character references and be prepared to complete a Garda vetting application formr> Duties Maintaining the Ivy Leaf keeping it clean and safeacilitating activieis associated with the centre no -- Principals only. Recruiters, please don’t contact this job advertiser. no -- Please, no phone calls about this job! no -- Reposting this message elsewhere is NOT OK.",Castleisland Knockananlig Kerry,Ireland
