title,ad_id,desc,city,country
€200 for an hour of being tickled!,5371731781,"I am looking for a girl to be tied and tickled for one hour by me, great pay and should be a funny hour. You must be able to host. DM if interested. no -- Principals only. Recruiters, please don’t contact this job advertiser. no -- Please, no phone calls about this job! no -- Reposting this message elsewhere is NOT OK.",Cork,Ireland
Permanent General Practitioner- Dublin 10,5461727957,"Spring Doc is a leading Irish general practitioner and family medicine doctor recruitment agency, recruiting GP doctors for permanent contracts together with long-term and short term locum GP assignments. Spring Doc works in partnership with general practices, HSE primary care and out of hour’s services across Ireland . On behalf of our client, we are seeking a General Practitioner to join a practice in Dublin 10 for a permanent position. The GP will be required to work 6 sessions per week. Essential Requirements Must be registered with the Irish Medical Council (IMC) Be fluent in the English language (both verbally and written) Have a clear understanding of the IMC Standards and Regulations Have recent relevant experience in family medicine Medical Indemnity Insurance Take the first step - contact Shane Warrenat Spring Doc today - Visit for our latest live jobs . Spring Doc assists both Irish based and international general practitioner doctors seek the best available GP jobs and training opportunities in Ireland. Our clients are spread across the island of Ireland - we are confident we can match your requirements in seeking a new permanent position or GP locum assignment to a location and organisation that meets all of your criteria. We offer competitive rates of pay for locum assignments. We can organise accommodation for GP’s travelling long distances for locum work. We also have a rewarding referral scheme to demonstrate our appreciation to general practitioners that refer a colleague to us. no -- Principals only. Recruiters, please don’t contact this job advertiser. no -- Please, no phone calls about this job! no -- Reposting this message elsewhere is NOT OK.",Dublin,Ireland
Digital Specialist Manager - BizApps,5461728083,"Microsoft is a company where passionate innovators come to collaborate, envision what can be, and take their careers to levels they can't achieve anywhere else. This is a world of more possibilities, more innovation, more openness, and sky's-the-limit thinking -- a cloud-enabled world. At Microsoft we have unique capabilities to meet the needs of both individuals and organizations. We care deeply about taking our ideals and vision around the globe, and to make a difference in peoples' lives and organizations in all corners of the planet. Our mission is to empower every person and every organization on the planet. The Technology for Social Impact Team is chartered with the mission of bringing the power of technology to every non-profit and humanitarian organization to accelerate Social Good. This organization will bring together our donation and grants programs, industry solutions, commercial sales efforts and partner ecosystems to empower non-profits globally to address the world’s most pressing needs. Profits generated from this business will be reapplied to scaling operations and investments for Microsoft’s public good investments. This is a dynamic and fast-growing business focused on helping organizations on the front line of change to do their best work to create inclusive and enduring positive impact throughout our communities. As the Global Specialist Sales Manager for Business Applications , you will be leading a team of Specialists and Technical Specialists to provide and sell the best-in-class cloud service and platforms to our managed customers, building the momentum for digital transformation for our customers and partners as well as Microsoft itself. The Global Specialist Sales Manager is a great sales coach and leader, has a challenger mentality, is savvy in sales-leadership practice and contributes with vision and flawless execution of solution sales across solution areas. no -- Principals only. Recruiters, please don’t contact this job advertiser. no -- Please, no phone calls about this job! no -- Reposting this message elsewhere is NOT OK.",Dublin,Ireland
Solicitor,5461727982,"John O. Lee and Company Solicitors, 30 / 31 South Mall, Cork are seeking to recruit a General Practice Solicitor to join their well-established firm to work independently and autonomously. The role would suit a solicitor with a minimum of 2+ years' post qualification experience.Experience in the following areas is preferred:Conveyancing including sales, purchases and leases;Wills and Probate, Enduring Powers of Attorney;Civil litigation.Candidate skills and experience:Fully qualified solicitor;Highly motivated and enthusiastic;Good people skills and deal with clients in an effective, understandable and professional manner;Strong attention to detail, excellent organisational skills, ability to prioritise work;Case management and IT skills;Ability to work under pressure, on own initiative and to meet deadlines.If you wish to apply for this role please email a CV and cover letter to: no -- Principals only. Recruiters, please don’t contact this job advertiser. no -- Please, no phone calls about this job! no -- Reposting this message elsewhere is NOT OK.",Cork,Ireland
Associate Engineer,5461745889,"Press Tab to Move to Skip to Content Link We Make Life More Rewarding and Dignified Location: Ballina Department: The role of the Associate Project Engineer is to work alongside other Project Engineers in the Ostomy Engineering department, to assist and lead projects which support the key initiatives of the Global Engineering team. Projects will include, but not limited to Validation of New Processes, Materials, Product Transfers, New Equipment and New Product Introduction. The successful candidate will be based in Ballina, and will serve Manufacturing Operations as primary customer. The position will liaise with Global Engineering (GE), New Product Development (NPD), Research and Development (R&D), Quality Assurance (QA), Supply Chain (SCM) & Sustaining Engineering (SE) in order to effectively carry out its responsibilities. RESPONSIBILTIES: Key responsibilities of the role will include: Represent Ost Eng BA as a Core or Extended Team Member of key technical projects, in support of GE objectives. Lead projects through full project life cycle including: Inception, Project Planning, Charter, Change Control Initiation, Execution and Implementation and Change Control closure, to support Ost Eng objectives. Provide technical support in Hollister specific manufacturing technologies to Operations Group, as required. Liaise closely with Quality Assurance, Sustaining Engineering, Manufacturing & Supply Chain Departments to ensure efficient execution of projects. Mechanical Design: Planning and specifying mechanical machine elements and machines for product manufacture, together with the upgrading or modification of existing or new processes. Equipment modification: Designing and implementing cost-effective methods, to help improve safety, reliability and throughput. Corporate & Vendor Liaison: Working with external suppliers in design and development of new production equipment and processes. Utilising the Hollister Production System (HPS) elements to aid Continuous Improvement in the Ballina Ostomy value streams. Problem Solving: Discussing and solving complex problems with manufacturing departments, sub-contractors, suppliers and customers – as part of day to day support of the value stream. Process/Material/Product Validation: Collaborating with Quality Assurance to write and complete engineering protocols, analyse results, draw conclusions and write reports? QUALIFICATIONS: Academic/Credentials/Certifications Primary Degree (Level 8) in Mechanical Engineering or equivalent. 1 Yr experience in a manufacturing company. Specialized skills/technical knowledge Project Management experience and / or formal training. Understanding of PLC, Robotics, Vision, Pneumatics and electrical circuits. Lean manufacturing principles (SMED and DMAIC techniques). Occupational Health & Safety Structured problem solving Hollister Incorporated is an independent, employee-owned company that develops,manufactures, and markets healthcare products worldwide. The company develops and manufactures products for ostomy care, continence care and critical care, and also develops educational support materials for patients and healthcare professionals. Headquartered in Libertyville, Illinois, it has manufacturing and distribution centers on three continents and sells in nearly 80 countries. Hollister is a wholly owned subsidiary of The Firm of John Dickinson Schneider Inc (JDS Inc), a 100 year old company. Hollister is guided by the shared Mission of JDS Inc, to make life more rewarding and dignified for people who use its products and services. Hollister is an EO employer – M/F/Veteran/Disability Job Segment: Product Development, Quality Assurance, Supply, Project Manager, Research, Technology, Operations no -- Principals only. Recruiters, please don’t contact this job advertiser. no -- Please, no phone calls about this job! no -- Reposting this message elsewhere is NOT OK.",Ballina,Ireland
"Product Manager (Crypto gaming, online gaming)",5439976673,"Product Manager (Crypto gaming, online gaming) Our client is a fast-growing crypto gaming company with substantial funding. With rapid expansion and growing market share, the company is looking for a Product Manager to join the Digital Team. about the team. Report to the Chief Digital Officer Fast-moving and dynamic working environment Young, dynamic and international team about the job. Develop short-term and long-term product roadmaps Conduct online research and industry analysis/product planning and design Develop and execute strategies for the optimization and commercialisation of online gaming websites, increasing the conversion Improve and enhance the journey and user experience (e.g. identity pain points, UX / UI design) Leverage data and research to improve the customer journey and user experience of product users Coordinate different business units, translating the business needs into requirements and specifications Product and project management, effectively monitor and control the progress of projects to ensure efficient and thorough delivery within the given timeline and resources skills & experiences required. Degree holder of any related discipline 5+ years of experience in digital transformation, product development, product management, project management Experience in online / website gaming is a PLUS Experience with Agile / Scrum / project management methodologies is a MUST Excellent stakeholders management and interpersonal skills Excellent communications in English; any other Asian language is an advantage Visa holders are welcome; Candidates out of Hong Kong could be placed in other locations by the need no -- Principals only. Recruiters, please don’t contact this job advertiser. no -- Please, no phone calls about this job! no -- Reposting this message elsewhere is NOT OK.",Causeway,Ireland
QA Team Lead (Manufacturing Jobs),5442972163,"We Make Life More Rewarding and Dignified Location: Ballina Department: Quality The purpose of the position is to manage Continence Care QA inspector team and provide quality support to Continence Care operations Responsibilities Lead, manage and developthe Continence Care QA inspector's team Complete investigations on product quality issues Complete quality improvement projects Collaborate with the plant team to achieve business objectives Involvement with the CAPA and non:conformance process Qualifications Degree in Engineering /Science Discipline 5 years experience working within a Medical Device, Pharma or other regulated industry 3 years experience as a people leader Experience in training, coaching and developing personnel Familiarity with ISO13485 and FDA requirements Experience/training in problem solving and process improvement methodologies Strong Team Player who effectively utilises individual strengths and talents to maximise services to customers Excellent people interaction, team building and communication skills Strong analytical skills Strong technical writing skills and attention to detail Ability to work on own with minimum supervision Excellent independent judgement and interpersonal skills Hollister Incorporated is an independent, employee:owned company that develops,manufactures, and markets healthcare products worldwide. The company develops and manufactures products for ostomy care, continence care and critical care, and also develops educational support materials for patients and healthcare professionals. Headquartered in Libertyville, Illinois, it has manufacturing and distribution centers on three continents and sells in nearly 80 countries. Hollister is a wholly owned subsidiary of The Firm of John Dickinson Schneider Inc (JDS Inc), a 100 year old company. Hollister is guided by the shared Mission of JDS Inc, to make life more rewarding and dignified for people who use its products and services.Hollister Hollister is an EO employer : M/F/Veteran/Disability Job Req ID: 29947 no -- Principals only. Recruiters, please don’t contact this job advertiser. no -- Please, no phone calls about this job! no -- Reposting this message elsewhere is NOT OK. This is a contract job.",Ballina,Ireland
"Digital Solution Area Specialist, Azure Apps & Infra - …",5461728052,"Microsoft is on a mission to empower every person and every organization on the planet to achieve more. Our culture is centered on embracing a growth mindset, a theme of inspiring excellence, and encouraging teams and leaders to bring their best each day. In doing so, we create life-changing innovations that impact billions of lives around the world. You can help us to achieve our mission. The Small, Medium, and Corporate team helps businesses achieve their digital transformation goals by matching customer challenges with Microsoft solutions. Located in either a Digital Sales center, or a local subsidiary, you will help our managed customers across industries, company sizes and territories to identify their needs and opportunities. One of the fastest growing customer segments in the technology industry, you will help customers get to the cloud across Microsoft solution areas like Modern Workplace, Business Applications, Applications, Infrastructure, and Data and AI. As an Azure Infrastructure Specialist, you are a business leader with technical expertise working with our most important managed customers. You will lead a virtual team of sales, technical, and services resources to help customers realize digital transformation through cloud computing achieve/exceed quarterly Azure consumption targets for related workloads in your assigned accounts. You possess both a high EQ with executive presence, able to engage with senior decision makers to uncover digital transformation initiatives, and a passion to learning how Azure cloud services can deliver digital transformation. You will develop and maintain an Azure expertise, able to identify projects, build a compelling business case, and drive the consumption project to production. You will build and maintain relationships with customers, influence long-term strategic direction and act as a trusted advisor driving engagement at the CXO level with technology decision makers. You will help customers evaluate their cloud strategy, determine approaches to application and data migration and modernization, and recommend solutions that meet their requirements. no -- Principals only. Recruiters, please don’t contact this job advertiser. no -- Please, no phone calls about this job! no -- Reposting this message elsewhere is NOT OK.",Dublin,Ireland
Senior Project Planner,5460782011,"A Process Engineering solutions company are looking for Project Engineers to join their process engineering team in North county Cork . The Project Engineer is responsible for the design, fabrication and installation of complex process equipment/systems that are used to make everything from Pharmaceutical, biotechnology medicine, dairy products, to beverage and drinks. Principal Duties and Responsibilities: Conceptual design of process solutions Preparation of proposals to meet client requirements Detailed engineering across process, mechanical and instrumentation disciplines. Managing the design for control and electrical aspects. Material and subcontractor procurement Supervision of drawing preparation Managing safety and quality on projects Commissioning of process systems Collation of documentation for project handover Technical sales & support for process equipment applications Requirements: 3+ years Process experience in the Beverage/Brewery, Biotechnology or Dairy industries Ideally relevant Process/mechanical contractor/fabrication experience Experience in Process Engineering and Project Engineering in the Beverage/Brewery, Biotechnology or Dairy industries Degree, or equivalent, in mechanical or chemical engineering A commitment and ability to get the job right first time Chartership with recognised body is preferred Salary/ Benefits: Salary €40,000 – €50,000 DOE Annual performance related bonus. Company pension scheme. Life and PHI insurance. Flexi-time working. Chartership fees. Support for training and self-development. If you are a Project Engineer and are looking for your next career move, please send your cv or call Gearoid Hughes , all applications will be treated in the strictest of confidence. We also have many other roles for Mechanical Building Services Engineers and Electrical Engineers across Ireland . no -- Principals only. Recruiters, please don’t contact this job advertiser. no -- Please, no phone calls about this job! no -- Reposting this message elsewhere is NOT OK.",Cork,Ireland
Operations Manager,5460798673,"Apply Now Job ID: JOB-12230 Operations Manager My client is a multinational operation with sites across Ireland and the United States. I have a great opportunity to take on the role of Operations Manager for their Drogheda site. Reporting to the General Manager, you will be expected to deliver optimum site service to the business and be a key stakeholder in delivering value. As the Operations leader of the Senior Management team, you will be required to drive planned and structured change to the site systems whilst aligning and supporting wider Group initiatives. Key Responsibilities: Safety: Instil a sense of self-responsibility for safety among associates. Ensure the safety of the associates and safe use of the equipment. Support the safety processes and programs of the Plant. Member of Central Safety and Health Committee for the plant. Metrics: Monitor Plant operating metrics. When applicable create actions to accomplish the Plant’s goals and objectives. Financial: Assist with the development of the Plant’s financial and capital budgets. Monitor performance results against budget and when necessary take the appropriate action. Operations: Support the growth of the Plant by developing operational capability and capacity through leveraging technologies and people, including communicating the operations vision. Culture: Create a customer-centred culture for the Plant. Customer Relationships: Build strong customer relationships through managing service to the customer and supporting sales efforts. Capacity: Create, establish and manage the capacity of the operation to meet fluctuating customer demands and for growth of the Plant, optimising profitability. Technical Knowledge: Develop and continually expand technical knowledge of processes, and when necessary, problem solve for continuous improvement. Value and Velocity: Create a culture of relentless pursuit of continuous improvement, focused and data based. Environmental: Manage the environmental programs for the Plant. Participate as a member of the Corporate Environmental Team. People: Build a high performing, skilled team to instil ownership of Plant objectives through selection, performance assessments, training and development of associates. Quality: Optimize the production process to assure that quality is built-in, not inspected in. Quality levels must meet customer requirements. Values: Model the Corporate Values and Principles, including instilling a high performance, people-driven culture, providing high expectations and high support. Tasks The Operations Manager is responsible for delivering key business goals through team-working, operational excellence and sound project management. The role requires strong leadership skills and the day to day demonstration of the appropriate attitudes and behaviours, encouraging the delivery of individual, team and site objectives. Improvements in individual and team performance must be based on a clear MCC strategy, an agreed vision for the future, clarity of goals, focus and a sense of urgency. The job holder must “manage by facts” and set in place clear, unambiguous KPI’s that are well communicated and highlight the on-going performance of internal customer – supplier relationships and the wider needs of MCC. The drive to deliver best industry practice along with optimal Sales support is paramount. Capacity creation and customer service are vital areas of focus. The Operations Manager is key to improving business performance by challenging and supporting the management team in their short, medium and long term goals. Constructive feedback must be openly given along with appropriate support material. Day to day tasks must be conducted with an awareness that attitudes and behaviours are equally as important as skills and knowledge daily management of the site operations. Creation of a safe environment and key driver of the site safety objectives. Leader and planner of the Management / Operations Team activities. Overview of the quality systems and input into the construction of procedures and risk assessments. Awareness of, and communicator of, changes that effect the site Quality, Safety and Environmental systems. Development of the team through coaching and appraisal. Creation of value through optimum print planning and delivery. Delivery of specific training to encourage a consistent “one way of working” approach to the day to day tasks. Coaching the wider teams in a range of Lean techniques. (Yellow / Green / Black Belts). The pursuit of operational excellence by encouraging internal customer – supplier relationships. Awareness of sister sites best practice programmes and their translation into opportunities for the Daventry site. Support the Sales team with customer site visits and audits. Working with the Finance team to raise awareness of costs and the development of the appropriate financial targets. Support the HR programme by delivering structure, raising awareness of our legal responsibilities and consistent reinforcement of site aims and values. Education, Experience and Skills: Level 8 degree in in an applicable engineering or business discipline (or equivalent experience) 10+ years of progressive and extensive applicable work experience in manufacturing Experience guiding and implementing change initiatives Demonstrated ability to partner with multiple internal functions across Manufacturing, Quality, Engineering, Facilities, HR, Finance and Supply Chain Groups Structured Problem Solving, Lean systems tools including value stream mapping Strong leadership and people management experience Proven ability to generate operational budgets Ability to manage, coach, motivate and develop direct and indirect staff applying a team approach. For further information on this Operations Manager role, contact Caroline Kingston on 0868395531 / Check out all our open jobs on our HERO Recruitment website – Please Note: Under its obligation under the Data Protection legislation, HERO Recruitment will not forward your details to any company without your prior approval. Data can only be transferred outside of the EEA on the basis of standards contractual clauses, to a country for whom an adequacy decision has been given by the European Commission or where the express permission of the data subject has been given. You have supplied us with your personal data in the process of applying for a position. Our client company may have personnel outside of the EEA who will review you data. We will apply the appropriate criteria in respect of the data transfer depending on the location of those personnel. Caroline Kingston JOB-12230 Apply Now no -- Principals only. Recruiters, please don’t contact this job advertiser. no -- Please, no phone calls about this job! no -- Reposting this message elsewhere is NOT OK.",Drogheda,Ireland
