title,ad_id,desc,city,country
"looking for massage staff, only femail.",5423274690,Hi girls We are looking for you join us. Good location in Bray. Easy trainsports. Very good customers and friendly colleague! full time or part time. contact us for more details 0892487799(same with whatsapp) yes -- OK for recruiters to contact this job advertiser. yes -- Phone calls about this job are ok. Yes – This message may be reposted elsewhere. This is a part-time job.,Bray,Ireland
Office Assistant Needed,5420798881,"Office Assistant Needed, experience preferred but if a good organiser and reliable then I will consider. Part time, temporary, cash. I'm working from home office. no -- Principals only. Recruiters, please don’t contact this job advertiser. no -- Please, no phone calls about this job! Yes – This message may be reposted elsewhere.",Dublin,Ireland
Part-Time Payroll Executive,5458477510,"Do you have payroll processing experience and up to date legislation knowledge? If so, then please read further. This is an exciting opportunity to work alongside the Head of Payroll and assist them with inhouse payroll processing. Start: ASAP Duration: Permanent Location: Ely, Cambridgeshire Salary: £Negotiable Hours: 20 hours per week Working on Monday, Wednesday and Friday (Flexibility can be offered on your start and finish times) Benefits: 22 days holiday + 8 bank holidays (raises over the long period of service ), social events throughout the year, pension scheme, annual charity day off, career development opportunities Duties: - Weekly reporting for UK, EU and US payrolls - Preparing hourly and salary payroll information, including statutory payment calculations - Calculating overtime and holiday adjustments - Managing the payroll system (SAGE) - Keeping up to date records for any leavers and new starters - Uploading all new starters details onto the system in a timely manner - Presenting pension information to new starters - Supporting the Head of Payroll with any other ad hoc projects and duties Skills and Experience: - Previous payroll experience and knowledge is essential - CIPP is advantageous but not essential - Exceptional attention to detail - Deadline driven - Willingness to learn - IT literate (SAGE is advantageous but not essential) - Strong communication skills, verbally and written - Excellent organisational skills If you have not received a response within 3-5 working days, unfortunately your application has been unsuccessful. Busy Bee Recruitment Ltd is acting as an Employment Agency for this Permanent vacancy. no -- Principals only. Recruiters, please don’t contact this job advertiser. no -- Please, no phone calls about this job! no -- Reposting this message elsewhere is NOT OK. This is a part-time job.","Ely, Ely Ireland,",Ireland
Models required for paid assignments across Ireland...,5127719632,"I'm looking for models for a socially distanced shoot (females - over 18 years of age), experience not required, great rates of pay plus travel expenses where applicable. Flexible working hours and locations across Northern Ireland . Happy to work with all shapes and sizes and ages between 18 and 65 years. No fees or catches, paid cash on the day of the shoot. Please PM with recent photo. Hope to hear from you! :) no -- Principals only. Recruiters, please don’t contact this job advertiser. no -- Please, no phone calls about this job! no -- Reposting this message elsewhere is NOT OK. This is a part-time job.",Dublin,Ireland
Programme Development Officer,5088698439,"Share A commitment to living the organisational values of Team work,Dignity, Justice, Advocacy and QualityNational Learning Network is the training and employment division of the Rehab Groupe have over 50 years- experience in the area of training for employment or further education and benefit from a hugely experienced multi-disciplinary team of nearly teachers, trainers, programme development officers, psychologists, counsellors and employment support staffr>Programme Development OfficerNational Learning NetworkNorth WestFixed term contract 6 months, 35 hoursJob The role involves the provision of advice, support and guidance to the Integrated Service Manager, Managers, and Instructors to ensure that all programmes within the region are being delivered to an appropriate standardhey will consult and co-operate with relevant external agencies including QQI, ETB, HSE and other certifying bodies, employers etc and the internal quality and governance departmentr>Minimum Education & Skills requiredRelevant degree in Training and EducationRelevant experience in the area of QQI, HSE funded programmes and the certification processExperience of working in the areas Mental Health, Learning Disability or Autismr>ob Duties & ResponsibilitiesTo consult with Integrated Service Managers, Centre and Area Managers, Instructors and the Quality and Governance Directorate to ensure all training programmes are appropriate and relevant within a local and national context and to the standards requiredbr>Additional requirementsApproachable, positive can do attitudeAbility to manage and adapt to changing environmentMotivation skills with energy & enthusiasmStaff BenefitsCompany Pension SchemePaid maternity leavePaid paternity leave24 days annual leaveBike to work schemeTax saver travel scheme protection:15th Interviews will take place the week of 26th r>To view full extensive please, apply to visit our company site and download attachment at the bottom of the pager>These duties and responsibilities are a reflection of the present service requirements and be subject to review and amendment to meet the changing needs of the servicesr>The Confidential is an equal opportunity employer Career Level Experienced Candidate Requirements Essential Minimum Experienced Required Years:0 no -- Principals only. Recruiters, please don’t contact this job advertiser. no -- Please, no phone calls about this job! no -- Reposting this message elsewhere is NOT OK.",Mayo Abbey Mayo Parks Mayo,Ireland
"Nurse Healthcare Recruitment Firm in Lucan, Dublin",5428234277,"RecruitNet International LTD is a Dublin based recruitment firm, which provides permanent job placements to leading organizations in Ireland . We have an unrivalled reputation for providing exceptional healthcare professionals that are at the core of the operation. We have also extended our services across all industry sectors. Our personnel provide us with high degree of expertise that allow us to deliver exceptional services in staffing solution. We value our services with focus on cost effectiveness, quality assurance, timely delivery, reliability and tailored solutions to meet the different needs of our clients and candidates. Website https://recruitnet.ie no -- Principals only. Recruiters, please don’t contact this job advertiser. no -- Please, no phone calls about this job! no -- Reposting this message elsewhere is NOT OK.",Lucan,Ireland
Programme Development Officer,5109255039,"Share A commitment to living the organisational values of Team work,Dignity, Justice, Advocacy and QualityNational Learning Network is the training and employment division of the Rehab Groupe have over 50 years- experience in the area of training for employment or further education and benefit from a hugely experienced multi-disciplinary team of nearly teachers, trainers, programme development officers, psychologists, counsellors and employment support staffr>Programme Development OfficerNational Learning NetworkNorth WestFixed term contract 6 months, 35 hoursJob The role involves the provision of advice, support and guidance to the Integrated Service Manager, Managers, and Instructors to ensure that all programmes within the region are being delivered to an appropriate standardhey will consult and co-operate with relevant external agencies including QQI, ETB, HSE and other certifying bodies, employers etc and the internal quality and governance departmentr>Minimum Education & Skills requiredRelevant degree in Training and EducationRelevant experience in the area of QQI, HSE funded programmes and the certification processExperience of working in the areas Mental Health, Learning Disability or Autismr>ob Duties & ResponsibilitiesTo consult with Integrated Service Managers, Centre and Area Managers, Instructors and the Quality and Governance Directorate to ensure all training programmes are appropriate and relevant within a local and national context and to the standards requiredbr>Additional requirementsApproachable, positive can do attitudeAbility to manage and adapt to changing environmentMotivation skills with energy & enthusiasmStaff BenefitsCompany Pension SchemePaid maternity leavePaid paternity leave24 days annual leaveBike to work schemeTax saver travel scheme protection:27th Interviews will take place on the 6th To view full extensive please, apply to visit our company site and download attachment at the bottom of the pager>These duties and responsibilities are a reflection of the present service requirements and be subject to review and amendment to meet the changing needs of the servicesr>The Confidential is an equal opportunity employer Career Level Experienced Candidate Requirements Essential Minimum Experienced Required Years:0 no -- Principals only. Recruiters, please don’t contact this job advertiser. no -- Please, no phone calls about this job! no -- Reposting this message elsewhere is NOT OK.",Mayo Abbey Mayo Parks Mayo,Ireland
Job: Part Time Retail Sales Assistant-Longford,5460856990,"About this Role You will act as company representative for Eir. At eir, we are proud to be part of the very fabric of Ireland , going right back to the foundation of the state. At eir, we can connect you to cutting edge careers, inspirational people, plenty of commitment and ambition, and a fantastic future. Our aim is to be the provider of choice for communications services in Ireland, which means we focus on looking after our people, so they can do the same for our customers. Why this Role? We are looking for individuals with at least two years experience who are customer focused and enjoy working as part of a team. A focus on sales and clear concise communication is essential to be successful in this role, and provide our customers with the best experience possible. Flexible - will be available for late night and weekend trading. What is expected from the Role? Key Responsibilities Understand our customers needs and provide them with a relevant mobile solution Meet individual/team targets and objectives Resolve any issues/queries raised by customers in a polite and professional manner Assist store manager in duties Administrative duties - stock control, cash management, data entry. To be aware and implement current and new policies and procedures. To keep updated on eirs mobile/broadband packages vs. our competitors Requirements for a Successful Application: Knowledge, Skills & Abilities Candidates must be able to confidently engage our customers Candidates must be able to communicate simply and clearly in a manner that invokes trust Candidates must have an interest in mobile phones Qualifications 0- 2 years retail or sales experience is desirable, although relevant life experience will also be considered. Others: Other benefits: 22 days annual leave Excellent paid leave benefits Wellness programme Taxsaver ticket Bike to work scheme Employee assistance programme Free yearly flu vaccination Pension scheme Employe Mobile/Broadband scheme Discount for Laya healthcare Salary & Remuneration €10.50 per hour Earn an extra €540 every month by hitting store targets and KPI's €500 refer a friend bonus no -- Principals only. Recruiters, please don’t contact this job advertiser. no -- Please, no phone calls about this job! no -- Reposting this message elsewhere is NOT OK. This is a part-time job.",Longford,Ireland
"Deli Assistants, Full & Part Time, Flexi, Castlebar, Coayo, …",5117591239,"Deli Assistants, Full & Part Time, Flexi, Castlebar, CoayoDue to continued company expansion Corrib Oil are seeking to recruit energetic, enthusiastic individuals with exceptional customer service skills to join our team at our service station in Castlebar, Coayobr>Do you:Believe in delivering excellent customer service-Want to be successful-Have the drive and enthusiasm to succeed-If you are an energetic, motivated individual with a passion for providing first class customer service we want to hear from you! Previous experience is desirable, but training will be providedr>Please be advised that these roles are being offered in a Full or Part Time capacity, please outline on your application which position you would like to apply for. no -- Principals only. Recruiters, please don’t contact this job advertiser. no -- Please, no phone calls about this job! no -- Reposting this message elsewhere is NOT OK. This is a part-time job.",Castlebar Mayo Ireland,Ireland
Looking for Female massage therapists for new Massage Studio,5430398968,"I need female massage therapists for new Massage studio in Dublin, Please message me with your mobile number and I will arrange a time and date for an interview. . yes -- OK for recruiters to contact this job advertiser. yes -- Phone calls about this job are ok. Yes – This message may be reposted elsewhere. Telecommuting is ok. This is a part-time job. This is a contract job.",Dublin,Ireland
