title,ad_id,desc,city,country
looking young masseuse/cleaner,5361089894,Hi Gent 50 single looking young girl for massage and cleaning .Will b paid.Reply if interested. yes -- OK for recruiters to contact this job advertiser. yes -- Phone calls about this job are ok. Yes – This message may be reposted elsewhere.,Dublin,Ireland
Senior Client Service Representative - Custody,4928757279,"About Northern Trust:Northern Trust provides innovative financial services and guidance to corporations, institutions and affluent families and individuals globally. With 130 years of financial experience and nearly 20,000 partners, we serve the world’s most sophisticated clients using leading technology and exceptional service . As a Northern Trust employee (Partner), you will be part of a flexible and collaborative work culture, which has a strong history of financial strength and stability. Movement within the organization is encouraged, senior leaders are accessible, and you can take pride in working for a company that is committed to strengthening the communities we serve. We recognize the value of inclusion and diversity in culture, in thought, and in experience, which is why Forbes ranked us the top employer for Diversity in 2018. Role/ Department: Based in Limerick, the successful candidate will report into the Custody Services Team Leader. The successful individual will focus on resolution on client queries, where expertise is required to problem solve and manage client expectations. The role offers the opportunity to further develop skills and knowledge of the firm’s global operating structure. The role will also offer the opportunity for full ownership of one or more department initiatives and representing the team on cross-function process or project deliverables. The successful individual will emerge as an expert in a specific skill set but remain focused primarily on daily client service execution. Also the individual may manage daily operational activities and supervise day-to-day work of junior level employees (but not a formal management role). The key responsibilities of the role include: • To act as the primary point of contact for all custody related queries from the Client. • Responsible for maintaining and enhancing service provided to the Client. • Ownership, management and resolution of all Client queries. • Awareness of transition activity linked to the Client. • Identifies and manages resolution of service delivery root causes. • Initiates frequent, proactive communication with the Investment Manager daily contacts to verify perceived levels of satisfaction and demonstrate proactive service. • Participates in Service Reviews as required. • Build and maintain strong relationships with all internal partners. • Maintain and monitor all client data and standing instructions. • Monitoring and resolution of cash and stock exceptions. Skills/ Qualifications: The successful candidate will benefit from having: Global Custody operational knowledge with proven Client Service expertise is required. Excellent oral and written communication skills are required. Analytical and problem solving skills are required. Ability to facilitate discussions and reach decisions. Technically sound in area of expertise with broader knowledge of other business areas. Ability to work under pressure to achieve the multiple daily deadlines for client deliverables, with a mature approach. Working with Us: We’d love to learn more about how your interests and experience could be a fit with one of the world’s most admired and ethical companies. In return, we will support you with your personal and career goals in a number of ways: Financial – Life Assurance, Disability Plan, Pension/ Gratuity, Annual Pay Review Work Life Balance – Flexible Work Options, Incremental Annual Leave, Community Volunteer Days Health & Wellbeing – Private Medical Insurance, Active Sports & Social clubs (lunchtime and after-work groups), Employee Assistance Program Professional Development – Clear Career Path, Education Assistance, Recognition Programme, NT University (wide range of online, virtual & in-house training options) and employee-led Business Resource Councils dedicated to diversity and inclusion initiatives. And Finally We hope you’re excited about the role and the opportunity to work with us. We value an inclusive workplace and understand flexibility means different things to different people. Apply today and talk to us about your flexible working requirements and together we can achieve greater. no -- Principals only. Recruiters, please don’t contact this job advertiser. no -- Please, no phone calls about this job! no -- Reposting this message elsewhere is NOT OK.",Limerick,Ireland
Client Service Manager - Custody,4928740667,"About Northern Trust:Northern Trust provides innovative financial services and guidance to corporations, institutions and affluent families and individuals globally. With 130 years of financial experience and nearly 20,000 partners, we serve the world’s most sophisticated clients using leading technology and exceptional service . As a Northern Trust employee (Partner), you will be part of a flexible and collaborative work culture, which has a strong history of financial strength and stability. Movement within the organization is encouraged, senior leaders are accessible, and you can take pride in working for a company that is committed to strengthening the communities we serve. We recognize the value of inclusion and diversity in culture, in thought, and in experience, which is why Forbes ranked us the top employer for Diversity in 2018. Role/ Department: Limerick’s Custody Client Service team are responsible for 450+ clients. The department has a high level of interaction with internal teams to source information which enables the team to provide Prompt Quality Responses for all client queries. Based in Limerick, the successful candidate will be responsible for developing and maintaining client relationships internally & externally. The role entails developing and mentoring team members to understand the products and services that we support to ensure that we provide a superior level of service to our extensive client base. The successful candidate will manage a developing team while at the same time ensure we exceed our client expectations for all custody queries. As the team evolves this is an excellent opportunity for an experienced manager to join a team who are committed to providing excellent client service to our network of clients The key responsibilities of the role include: Ownership of Custody Relationship for assigned clients. Senior point of consultation for clients. Initiates frequent, proactive communication. Leads / Conducts Service Reviews. Develop and maintain effective relationships with critical business partners, internal clients & relevant third parties, e. g. trustees, external advisors, consultants, etc. Track service & delivery results against project plans and SLD (Service Level Delivery), Monitor service & delivery through client reviews, internal / external surveys, specific client feedback, consultant feedback etc. Provide appropriate escalation of service & delivery and other relevant issues / opportunities to Relationship Managers / Client Service Managers / Internal Stakeholders. Manage team with the overall goal of delivering proactive, unparalleled client service to clients. Promote the highest standards of integrity, accountability & client service across GFS EMEA and the global GFS business. Set clear goals, expectations and regular updates to team objectives are being achieved. Create and foster an inclusive environment where team members interact with trust, respect and a shared sense of purpose and collective impact Skills/ Qualifications: The successful candidate will benefit from having: Several years’ experience within Fund Services (preferably Custody) Previous people management experience. Technical knowledge of the securities industry, its products and instruments. Strong leadership skills, both as a manager and also as an advocate for the company. Excellent interpersonal skills including ability to persuade and influence change / best practice. Ability to communicate with partners and clients at all levels. Ability to foster an inclusive environment within team. Ability to learn and share client strategy, infrastructure, products, and key personnel across the organisation. Proven ability to improve service delivery, efficiency, effectiveness and productivity. Working with Us: We’d love to learn more about how your interests and experience could be a fit with one of the world’s most admired and ethical companies. In return, we will support you with your personal and career goals in a number of ways: Financial – Life Assurance, Disability Plan, Pension/ Gratuity, Annual Pay Review Work Life Balance – Flexible Work Options, Incremental Annual Leave, Community Volunteer Days Health & Wellbeing – Private Medical Insurance, Active Sports & Social clubs (lunchtime and after-work groups), Employee Assistance Program Professional Development – Clear Career Path, Education Assistance, Recognition Programme, NT University (wide range of online, virtual & in-house training options) and employee-led Business Resource Councils dedicated to diversity and inclusion initiatives. And Finally We hope you’re excited about the role and the opportunity to work with us. We value an inclusive workplace and understand flexibility means different things to different people. Apply today and talk to us about your flexible working requirements and together we can achieve greater. no -- Principals only. Recruiters, please don’t contact this job advertiser. no -- Please, no phone calls about this job! no -- Reposting this message elsewhere is NOT OK.",Limerick,Ireland
Cleaner Drogheda Community Services Centre,5061691127,"Application Details Share Eligibility to participate on CE is generally linked to those who are years or over and in receipt of a qualifying social welfare payment for 1 year or more or 18 years and over for certain disadvantaged groupsour eligibility will have to be verified by the Departmentr> You can register your interest by selecting the -Register your interest- button or you can a case officer in your local Intreo Centrer> Applicants should supply suitable character references and be prepared to complete a Garda vetting application formr> Duties This is a developmental opportunity, no experience necessaryccredited training will be provided to support your careerbr>Keeping the centre clean and tidyeep staff canteen cleanrepare counselling room for use during the dayun errands for the centrebr>ommunity Employment Supervisors on -9836084 r> no -- Principals only. Recruiters, please don’t contact this job advertiser. no -- Please, no phone calls about this job! no -- Reposting this message elsewhere is NOT OK.",Drogheda Louth Ireland,Ireland
Assistant Housekeeper,5077570217,"Application Details Share Eligibility to participate on CE is generally linked to those who are years or over and in receipt of a qualifying social welfare payment for 1 year or more or 18 years and over for certain disadvantaged groupsour eligibility will have to be verified by the Departmentr> You can register your interest by selecting the -Register your interest- button or you can a case officer in your local Intreo Centrer> Applicants should supply suitable character references and be prepared to complete a Garda vetting application formr> Duties This is a developmental opportunity, no experience necessaryccredited training will be provided to support your careerbr>Duties to include :assist the Housekeeper cleaning duties of the family unity in the refuge and general areas; ensure stocks are maintained; inform Housekeeper when stocks need to replenished; full drivers licence would be an advantage to transports donations etc to the Butterfly Boutique the refuge charity shopull information available on 9847316r> no -- Principals only. Recruiters, please don’t contact this job advertiser. no -- Please, no phone calls about this job! no -- Reposting this message elsewhere is NOT OK.",Drogheda Louth Ireland,Ireland
Housekeeper - CE Scheme,5084469571,"Application Details Share Eligibility to participate on CE is generally linked to those who are years or over and in receipt of a qualifying social welfare payment for 1 year or more or 18 years and over for certain disadvantaged groupsour eligibility will have to be verified by the Departmentr> You can register your interest by selecting the -Register your interest- button or you can a case officer in your local Intreo Centrer> Applicants should supply suitable character references and be prepared to complete a Garda vetting application formr> Duties Duties will include:Day to day cleaning of offices and other duties as requiredbr>:Gary Cancer Centrer>Applicants must supply suitable character references and be prepared to complete a Garda vetting application formr> no -- Principals only. Recruiters, please don’t contact this job advertiser. no -- Please, no phone calls about this job! no -- Reposting this message elsewhere is NOT OK.",Drogheda Louth Ireland,Ireland
Reception & Housekeeper,5230565542,"Job Description We at Based by the Lake are on the hunt for an outgoing, confident person, with a love for customer service , hospitality and tourism. You will be working with a small team of fun like minded people who deal with an array of customers from all across the globe! Reception Position: This is both a weekend day and evening position. We are looking for someone to join our team of receptionists to help in running the busy weekend, evening position. This role includes but is not limited to; providing great customer service, general cleaning duties, inputting reservations, dealing with check ins and check outs, evening security, ensuring all health and safety and emergency procedures are adhered to, and providing a safe and enjoyable stay for all guests. Housekeeping Position: This is a Weekend position. We are looking for someone to join our team of housekeepers to help in taking care of the buildings general cleanliness to provide tidy and sanitary amenities for our guests. The role includes but is not limited to; making beds, sweeping and mopping the restaurant and communal areas, and cleaning bathrooms. Both positions have the ability to gain more hours as we move in to the busy Summer months. We are looking for people who have an attention for detail, exceptional customer service, and a can do attitude! Experience is important, but the right attitude is the key! If this sounds like you, then apply now! Job Requirements no -- Principals only. Recruiters, please don’t contact this job advertiser. no -- Please, no phone calls about this job! no -- Reposting this message elsewhere is NOT OK.",Drogheda,Ireland
Cleaner / Domestic Assistant,5117623105,"Share Kiltiiper Woods Care Centre are hiring a Cleaner / Domestic Assistant to join our highly motivated and focused Household Teamr>Kiltipper Woods Care Centre provides a comprehensive range of specialist nursing care, rehabilitation and convalescence carebr>Benefits· A modern state of the art facility· A pleasant working environment· Relaxed atmosphere· Comprehensive Induction programme· Earliest start is 8 am· Latest finish 6 pmhifts are rostered to · Ongoing training opportunities· Onsite Café with staff discount· Free onsite parkingThe Domestic Assistant role covers both Housekeeping and Cateringr>Duties include:· Daily cleaning of general areas and residents rooms· Proper use and storage of cleaning equipment and cleaning solutions· Taking delivery of goods and storing them· Light kitchen duties· Preparing light meals and snacks· Setting dining room table· Serving meals and snacks to residentsThe ideal candidate will have:· Previous experience of working in cleaning and catering· Food Hygiene training is desirable· Experience of working in a Healthcare environment is desirable but not essential· High standards of cleanliness and infection control are a priority for the Centre, so a keen awareness of their importance is essential· Good organisational skills and ability to work on own initiative· Must have excellent English language skills Career Level Not Required Candidate Requirements Essential Minimum Experienced Required Years:1DesirableAbility Skills:Hospitality, Interpersonal Skills Competency Skills:Flexibility, Teamwork Competency Skills:Manual Handling, HACCP Languages:English C2-Master Fluent no -- Principals only. Recruiters, please don’t contact this job advertiser. no -- Please, no phone calls about this job! no -- Reposting this message elsewhere is NOT OK.",Tallaght Dublin Ireland,Ireland
Cleaner,5120175716,"Application Details Share Eligibility to participate on CE is generally linked to those who are years or over and in receipt of a qualifying social welfare payment for 1 year or more or 18 years and over for certain disadvantaged groupsour eligibility will have to be verified by the Departmentr> You can register your interest by selecting the -Register your interest- button or you can a case officer in your local Intreo Centrer> Applicants should supply suitable character references and be prepared to complete a Garda vetting application formr> Duties Duties to include light cleaning duties in the centrer> no -- Principals only. Recruiters, please don’t contact this job advertiser. no -- Please, no phone calls about this job! no -- Reposting this message elsewhere is NOT OK.",Dublin Ireland,Ireland
Crew Member Northside Shopping Centre,5150506171,"Position Description What I Do • Deliver hot fresh food, in a clean and friendly restaurant, giving customers a great experience each visit, every time • Consistently deliver the highest standards of quality, service and cleanliness in the restaurant • Provide friendly, fast and accurate service Position Requirements Deliver A Great Customer Experience • Prepare the customer’s meal with care and respect – give your customers gold standard food and drink every time • Make it special – be welcoming, personalise your comments and connect with your customers • Make it genuine – give the customer your full attention, smile, use eye contact and body language that is enthusiastic and energetic • Adapt to each customer’s needs – give them an individual experience that exceeds their expectations, e. g.: o Be patient with customers who need help, offer to explain the menu o Get to know regular customers and treat them individually o Use positive gestures, e. g. offer to clear trays, help parents with pushchairs or make a child’s visit special • Use initiative and confidence when interacting with customers • Answer customer queries confidently and professionally – keep up-to-date with knowledge on our food and promotions • Treat all customers and colleagues with courtesy and respect • Work as a supportive team member McDonald's is an equal opportunities employer. Position Attributes Quality, Service & Cleanliness • Complete tasks and activities in line with training, company guidelines and management direction • Adhere to McDonald’s standards of quality, service and cleanliness • Follow all workplace safety, security and food hygiene procedures • Follow our guidelines and take pride in your personal appearance • Take responsibility for your training in all areas; look for opportunities to improve and develop Additional Information N/A Back to top no -- Principals only. Recruiters, please don’t contact this job advertiser. no -- Please, no phone calls about this job! no -- Reposting this message elsewhere is NOT OK.",Dublin,Ireland
